时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号,,灭火器→油箱→接地夹、焊把钳→墙壁电源→焊机电源→电压电流旋钮→待焊钢板、钢刷→焊接时手腕位置→焊机电源→墙壁电源→接地夹、焊把钳→锤子,,,,,,,
46:07.5,0.5,接地夹下端,3.02,1.53,1.61,3.266,1.561,1.669,T1,,,,,,,,,
46:07.6,0.5,焊把钳下端,3.02,1.15,1.56,3.263,1.477,1.634,T1,,,,,,,,,
46:07.6,0.5,接地夹下端,3.02,1.53,1.61,3.263,1.477,1.634,T1,,,,,,,,,
46:07.7,0.5,焊把钳下端,3.02,1.15,1.56,3.236,1.395,1.611,T1,,,,,,,,,
46:07.7,0.5,接地夹下端,3.02,1.53,1.61,3.236,1.395,1.611,T1,,,,,,,,,
46:07.8,0.5,焊把钳下端,3.02,1.15,1.56,3.198,1.327,1.614,T1,,,,,,,,,
46:07.8,0.5,接地夹下端,3.02,1.53,1.61,3.198,1.327,1.614,T1,,,,,,,,,
46:07.9,0.5,焊把钳下端,3.02,1.15,1.56,3.162,1.267,1.636,T1,,,,,,,,,
46:07.9,0.5,接地夹下端,3.02,1.53,1.61,3.162,1.267,1.636,T1,,,,,,,,,
46:08.0,0.5,焊把钳下端,3.02,1.15,1.56,3.146,1.224,1.659,T1,,,,,,,,,
46:08.0,0.5,接地夹下端,3.02,1.53,1.61,3.146,1.224,1.659,T1,,,,,,,,,
46:08.1,0.5,焊把钳下端,3.02,1.15,1.56,3.133,1.194,1.681,T1,,,,,,,,,
46:08.1,0.5,接地夹下端,3.02,1.53,1.61,3.133,1.194,1.681,T1,,,,,,,,,
46:08.2,0.5,焊把钳下端,3.02,1.15,1.56,3.122,1.174,1.701,T1,,,,,,,,,
46:08.2,0.5,接地夹下端,3.02,1.53,1.61,3.122,1.174,1.701,T1,,,,,,,,,
46:08.3,0.5,焊把钳下端,3.02,1.15,1.56,3.109,1.167,1.724,T1,,,,,,,,,
46:08.3,0.5,接地夹下端,3.02,1.53,1.61,3.109,1.167,1.724,T1,,,,,,,,,
46:08.4,0.5,焊把钳下端,3.02,1.15,1.56,3.108,1.156,1.733,T1,,,,,,,,,
46:08.4,0.5,接地夹下端,3.02,1.53,1.61,3.108,1.156,1.733,T1,,,,,,,,,
46:08.5,0.5,焊把钳下端,3.02,1.15,1.56,3.112,1.151,1.73,T1,,,,,,,,,
46:08.5,0.5,接地夹下端,3.02,1.53,1.61,3.112,1.151,1.73,T1,,,,,,,,,
46:08.6,0.5,焊把钳下端,3.02,1.15,1.56,3.103,1.149,1.731,T1,,,,,,,,,
46:08.6,0.5,接地夹下端,3.02,1.53,1.61,3.103,1.149,1.731,T1,,,,,,,,,
46:08.7,0.5,焊把钳下端,3.02,1.15,1.56,3.101,1.133,1.742,T1,,,,,,,,,
46:08.7,0.5,接地夹下端,3.02,1.53,1.61,3.101,1.133,1.742,T1,,,,,,,,,
46:08.8,0.5,焊把钳下端,3.02,1.15,1.56,3.095,1.13,1.754,T1,,,,,,,,,
46:08.8,0.5,接地夹下端,3.02,1.53,1.61,3.095,1.13,1.754,T1,,,,,,,,,
46:08.9,0.5,焊把钳下端,3.02,1.15,1.56,3.089,1.13,1.768,T1,,,,,,,,,
46:08.9,0.5,接地夹下端,3.02,1.53,1.61,3.089,1.13,1.768,T1,,,,,,,,,
46:09.0,0.5,焊把钳下端,3.02,1.15,1.56,3.085,1.137,1.778,T1,,,,,,,,,
46:09.0,0.5,接地夹下端,3.02,1.53,1.61,3.085,1.137,1.778,T1,,,,,,,,,
46:09.1,0.5,焊把钳下端,3.02,1.15,1.56,3.086,1.144,1.783,T1,,,,,,,,,
46:09.1,0.5,接地夹下端,3.02,1.53,1.61,3.086,1.144,1.783,T1,,,,,,,,,
46:09.2,0.5,焊把钳下端,3.02,1.15,1.56,3.091,1.145,1.784,T1,,,,,,,,,
46:09.2,0.5,接地夹下端,3.02,1.53,1.61,3.091,1.145,1.784,T1,,,,,,,,,
46:09.3,0.5,焊把钳下端,3.02,1.15,1.56,3.082,1.174,1.788,T1,,,,,,,,,
46:09.3,0.5,接地夹下端,3.02,1.53,1.61,3.082,1.174,1.788,T1,,,,,,,,,
46:09.4,0.5,焊把钳下端,3.02,1.15,1.56,3.081,1.19,1.785,T1,,,,,,,,,
46:09.4,0.5,接地夹下端,3.02,1.53,1.61,3.081,1.19,1.785,T1,,,,,,,,,
46:09.5,0.5,焊把钳下端,3.02,1.15,1.56,3.086,1.184,1.789,T1,,,,,,,,,
46:09.5,0.5,接地夹下端,3.02,1.53,1.61,3.086,1.184,1.789,T1,,,,,,,,,
46:09.6,0.5,焊把钳下端,3.02,1.15,1.56,3.101,1.173,1.797,T1,,,,,,,,,
46:09.6,0.5,接地夹下端,3.02,1.53,1.61,3.101,1.173,1.797,T1,,,,,,,,,
46:09.7,0.5,焊把钳下端,3.02,1.15,1.56,3.113,1.158,1.803,T1,,,,,,,,,
46:09.7,0.5,接地夹下端,3.02,1.53,1.61,3.113,1.158,1.803,T1,,,,,,,,,
46:09.8,0.5,焊把钳下端,3.02,1.15,1.56,3.125,1.138,1.812,T1,,,,,,,,,
46:09.8,0.5,接地夹下端,3.02,1.53,1.61,3.125,1.138,1.812,T1,,,,,,,,,
46:09.9,0.5,焊把钳下端,3.02,1.15,1.56,3.15,1.1,1.81,T1,,,,,,,,,
46:09.9,0.5,接地夹下端,3.02,1.53,1.61,3.15,1.1,1.81,T1,,,,,,,,,
46:10.0,0.5,焊把钳下端,3.02,1.15,1.56,3.165,1.062,1.811,T1,,,,,,,,,
46:10.1,0.5,焊把钳下端,3.02,1.15,1.56,3.171,1.04,1.802,T1,,,,,,,,,
46:10.2,0.5,焊把钳下端,3.02,1.15,1.56,3.16,1.016,1.79,T1,,,,,,,,,
46:10.3,0.5,焊把钳下端,3.02,1.15,1.56,3.145,0.996,1.779,T1,,,,,,,,,
46:10.4,0.5,焊把钳下端,3.02,1.15,1.56,3.128,0.976,1.765,T1,,,,,,,,,
46:10.5,0.5,焊把钳下端,3.02,1.15,1.56,3.107,0.96,1.75,T1,,,,,,,,,
46:10.6,0.5,焊把钳下端,3.02,1.15,1.56,3.092,0.949,1.738,T1,,,,,,,,,
46:10.7,0.5,焊把钳下端,3.02,1.15,1.56,3.076,0.94,1.728,T1,,,,,,,,,
46:10.8,0.5,焊把钳下端,3.02,1.15,1.56,3.065,0.934,1.721,T1,,,,,,,,,
46:10.9,0.5,焊把钳下端,3.02,1.15,1.56,3.058,0.93,1.713,T1,,,,,,,,,
46:11.0,0.5,焊把钳下端,3.02,1.15,1.56,3.052,0.928,1.707,T1,,,,,,,,,
46:11.2,0.5,焊把钳下端,3.02,1.15,1.56,3.046,0.924,1.7,T1,,,,,,,,,
46:11.3,0.5,焊把钳下端,3.02,1.15,1.56,3.032,0.917,1.708,T1,,,,,,,,,
46:11.4,0.5,焊把钳下端,3.02,1.15,1.56,3.01,0.91,1.731,T1,,,,,,,,,
46:11.5,0.5,焊把钳下端,3.02,1.15,1.56,2.987,0.909,1.765,T1,,,,,,,,,
46:11.6,0.5,焊把钳下端,3.02,1.15,1.56,2.96,0.928,1.809,T1,,,,,,,,,
46:11.7,0.5,焊把钳下端,3.02,1.15,1.56,2.92,0.968,1.857,T1,,,,,,,,,
46:11.8,0.5,焊把钳下端,3.02,1.15,1.56,2.868,1.016,1.916,T1,,,,,,,,,
46:11.9,0.5,焊把钳下端,3.02,1.15,1.56,2.783,1.133,1.996,T1,,,,,,,,,
46:13.0,0.5,接地夹下端,3.02,1.53,1.61,2.735,1.417,1.991,T1,,,,,,,,,
46:13.1,0.5,焊把钳下端,3.02,1.15,1.56,2.742,1.33,1.92,T1,,,,,,,,,
46:13.1,0.5,接地夹下端,3.02,1.53,1.61,2.742,1.33,1.92,T1,,,,,,,,,
46:13.2,0.5,焊把钳下端,3.02,1.15,1.56,2.747,1.252,1.841,T1,,,,,,,,,
46:13.2,0.5,接地夹下端,3.02,1.53,1.61,2.747,1.252,1.841,T1,,,,,,,,,
46:13.3,0.5,焊把钳下端,3.02,1.15,1.56,2.724,1.214,1.762,T1,,,,,,,,,
46:13.3,0.5,接地夹下端,3.02,1.53,1.61,2.724,1.214,1.762,T1,,,,,,,,,
46:13.4,0.5,焊把钳下端,3.02,1.15,1.56,2.675,1.22,1.685,T1,,,,,,,,,
46:13.4,0.5,接地夹下端,3.02,1.53,1.61,2.675,1.22,1.685,T1,,,,,,,,,
46:13.5,0.5,接地夹下端,3.02,1.53,1.61,3.425,1.436,1.45,T0,,,,,,,,,
46:13.5,0.5,焊把钳下端,3.02,1.15,1.56,2.612,1.266,1.609,T1,,,,,,,,,
46:13.5,0.5,接地夹下端,3.02,1.53,1.61,2.612,1.266,1.609,T1,,,,,,,,,
46:13.6,0.5,焊把钳下端,3.02,1.15,1.56,3.322,1.387,1.439,T0,,,,,,,,,
46:13.6,0.5,接地夹下端,3.02,1.53,1.61,3.322,1.387,1.439,T0,,,,,,,,,
46:13.7,0.5,焊把钳下端,3.02,1.15,1.56,3.209,1.353,1.429,T0,,,,,,,,,
46:13.7,0.5,接地夹下端,3.02,1.53,1.61,3.209,1.353,1.429,T0,,,,,,,,,
46:13.8,0.5,焊把钳下端,3.02,1.15,1.56,3.088,1.336,1.415,T0,,,,,,,,,
46:13.8,0.5,接地夹下端,3.02,1.53,1.61,3.088,1.336,1.415,T0,,,,,,,,,
46:13.9,0.5,焊把钳下端,3.02,1.15,1.56,2.985,1.297,1.411,T0,,,,,,,,,
46:13.9,0.5,接地夹下端,3.02,1.53,1.61,2.985,1.297,1.411,T0,,,,,,,,,
46:14.0,0.5,焊把钳下端,3.02,1.15,1.56,2.89,1.246,1.424,T0,,,,,,,,,
46:14.0,0.5,接地夹下端,3.02,1.53,1.61,2.89,1.246,1.424,T0,,,,,,,,,
46:14.1,0.5,焊把钳下端,3.02,1.15,1.56,2.804,1.207,1.432,T0,,,,,,,,,
46:14.1,0.5,接地夹下端,3.02,1.53,1.61,2.804,1.207,1.432,T0,,,,,,,,,
46:14.2,0.5,焊把钳下端,3.02,1.15,1.56,2.733,1.182,1.432,T0,,,,,,,,,
46:14.2,0.5,接地夹下端,3.02,1.53,1.61,2.733,1.182,1.432,T0,,,,,,,,,
46:14.3,0.5,焊把钳下端,3.02,1.15,1.56,2.678,1.163,1.427,T0,,,,,,,,,
46:14.4,0.5,焊把钳下端,3.02,1.15,1.56,2.636,1.145,1.424,T0,,,,,,,,,
46:14.5,0.5,焊把钳下端,3.02,1.15,1.56,2.604,1.155,1.39,T0,,,,,,,,,
46:14.6,0.5,焊把钳下端,3.02,1.15,1.56,2.583,1.189,1.332,T0,,,,,,,,,
46:14.7,0.5,墙壁电源,2.44,2.57,0.97,2.251,2.162,0.85,T1,打开墙壁电源,,,,,,,,
46:14.8,0.5,墙壁电源,2.44,2.57,0.97,2.204,2.244,0.775,T1,,,,,,,,,
46:14.9,0.5,墙壁电源,2.44,2.57,0.97,2.143,2.334,0.669,T1,,,,,,,,,
46:16.3,0.5,墙壁电源,2.44,2.57,0.97,2.294,2.569,0.513,T1,,,,,,,,,
46:16.4,0.5,墙壁电源,2.44,2.57,0.97,2.439,2.464,0.657,T1,,,,,,,,,
46:16.5,0.5,墙壁电源,2.44,2.57,0.97,2.577,2.376,0.794,T1,,,,,,,,,
46:16.6,0.5,墙壁电源,2.44,2.57,0.97,2.695,2.319,0.851,T1,,,,,,,,,
46:16.7,0.5,墙壁电源,2.44,2.57,0.97,2.748,2.322,0.849,T1,,,,,,,,,
46:16.8,0.5,墙壁电源,2.44,2.57,0.97,2.738,2.375,0.815,T1,,,,,,,,,
46:16.9,0.5,墙壁电源,2.44,2.57,0.97,2.703,2.443,0.781,T1,,,,,,,,,
46:17.0,0.5,墙壁电源,2.44,2.57,0.97,2.656,2.525,0.752,T1,,,,,,,,,
46:17.1,0.5,墙壁电源,2.44,2.57,0.97,2.593,2.619,0.721,T1,,,,,,,,,
46:17.2,0.5,墙壁电源,2.44,2.57,0.97,2.527,2.712,0.696,T1,,,,,,,,,
46:17.3,0.5,墙壁电源,2.44,2.57,0.97,2.449,2.807,0.606,T1,,,,,,,,,
46:17.4,0.5,墙壁电源,2.44,2.57,0.97,2.126,2.184,0.919,T0,,,,,,,,,
46:17.4,0.5,墙壁电源,2.44,2.57,0.97,2.39,2.862,0.594,T1,,,,,,,,,
46:17.5,0.5,墙壁电源,2.44,2.57,0.97,2.301,2.814,0.822,T1,,,,,,,,,
46:17.6,0.5,墙壁电源,2.44,2.57,0.97,2.218,2.9,0.706,T1,,,,,,,,,
46:18.3,0.5,墙壁电源,2.44,2.57,0.97,2.284,2.866,0.68,T1,,,,,,,,,
46:18.4,0.5,墙壁电源,2.44,2.57,0.97,2.243,2.912,0.67,T1,,,,,,,,,
46:18.5,0.5,墙壁电源,2.44,2.57,0.97,2.303,2.838,0.839,T1,,,,,,,,,
46:18.6,0.5,墙壁电源,2.44,2.57,0.97,2.352,2.777,0.917,T1,,,,,,,,,
46:18.7,0.5,墙壁电源,2.44,2.57,0.97,2.398,2.727,0.966,T1,,,,,,,,,
46:18.8,0.5,墙壁电源,2.44,2.57,0.97,2.212,2.758,0.641,T0,,,,,,,,,
46:18.8,0.5,墙壁电源,2.44,2.57,0.97,2.436,2.688,0.996,T1,,,,,,,,,
46:18.9,0.5,墙壁电源,2.44,2.57,0.97,2.238,2.742,0.67,T0,,,,,,,,,
46:18.9,0.5,墙壁电源,2.44,2.57,0.97,2.472,2.658,1.016,T1,,,,,,,,,
46:19.0,0.5,墙壁电源,2.44,2.57,0.97,2.254,2.737,0.674,T0,,,,,,,,,
46:19.0,0.5,墙壁电源,2.44,2.57,0.97,2.503,2.635,1.026,T1,,,,,,,,,
46:19.1,0.5,墙壁电源,2.44,2.57,0.97,2.265,2.736,0.669,T0,,,,,,,,,
46:19.1,0.5,墙壁电源,2.44,2.57,0.97,2.53,2.616,1.032,T1,,,,,,,,,
46:19.2,0.5,墙壁电源,2.44,2.57,0.97,2.269,2.742,0.648,T0,,,,,,,,,
46:19.2,0.5,墙壁电源,2.44,2.57,0.97,2.554,2.601,1.035,T1,,,,,,,,,
46:19.3,0.5,墙壁电源,2.44,2.57,0.97,2.275,2.747,0.625,T0,,,,,,,,,
46:19.3,0.5,墙壁电源,2.44,2.57,0.97,2.572,2.588,1.043,T1,,,,,,,,,
46:19.4,0.5,墙壁电源,2.44,2.57,0.97,2.281,2.746,0.61,T0,,,,,,,,,
46:19.4,0.5,墙壁电源,2.44,2.57,0.97,2.588,2.571,1.056,T1,,,,,,,,,
46:19.5,0.5,墙壁电源,2.44,2.57,0.97,2.289,2.734,0.602,T0,,,,,,,,,
46:19.5,0.5,墙壁电源,2.44,2.57,0.97,2.596,2.557,1.06,T1,,,,,,,,,
46:19.6,0.5,墙壁电源,2.44,2.57,0.97,2.3,2.711,0.614,T0,,,,,,,,,
46:19.6,0.5,墙壁电源,2.44,2.57,0.97,2.603,2.548,1.053,T1,,,,,,,,,
46:19.7,0.5,墙壁电源,2.44,2.57,0.97,2.311,2.681,0.631,T0,,,,,,,,,
46:19.7,0.5,墙壁电源,2.44,2.57,0.97,2.612,2.549,1.045,T1,,,,,,,,,
46:19.8,0.5,墙壁电源,2.44,2.57,0.97,2.327,2.637,0.66,T0,,,,,,,,,
46:19.8,0.5,墙壁电源,2.44,2.57,0.97,2.592,2.57,1.016,T1,,,,,,,,,
46:19.9,0.5,墙壁电源,2.44,2.57,0.97,2.291,2.639,0.632,T0,,,,,,,,,
46:19.9,0.5,墙壁电源,2.44,2.57,0.97,2.567,2.59,0.973,T1,,,,,,,,,
46:20.0,0.5,墙壁电源,2.44,2.57,0.97,2.239,2.653,0.58,T0,,,,,,,,,
46:20.0,0.5,墙壁电源,2.44,2.57,0.97,2.537,2.612,0.921,T1,,,,,,,,,
46:20.1,0.5,墙壁电源,2.44,2.57,0.97,2.197,2.649,0.595,T0,,,,,,,,,
46:20.1,0.5,墙壁电源,2.44,2.57,0.97,2.508,2.632,0.867,T1,,,,,,,,,
46:20.2,0.5,墙壁电源,2.44,2.57,0.97,2.171,2.623,0.639,T0,,,,,,,,,
46:20.2,0.5,墙壁电源,2.44,2.57,0.97,2.477,2.648,0.818,T1,,,,,,,,,
46:20.3,0.5,墙壁电源,2.44,2.57,0.97,2.155,2.586,0.694,T0,,,,,,,,,
46:20.3,0.5,墙壁电源,2.44,2.57,0.97,2.451,2.647,0.775,T1,,,,,,,,,
46:20.4,0.5,墙壁电源,2.44,2.57,0.97,2.143,2.546,0.75,T0,,,,,,,,,
46:20.4,0.5,墙壁电源,2.44,2.57,0.97,2.467,2.627,0.757,T1,,,,,,,,,
46:20.5,0.5,墙壁电源,2.44,2.57,0.97,2.19,2.449,0.868,T0,,,,,,,,,
46:20.5,0.5,墙壁电源,2.44,2.57,0.97,2.501,2.61,0.753,T1,,,,,,,,,
46:20.6,0.5,墙壁电源,2.44,2.57,0.97,2.261,2.326,1.019,T0,,,,,,,,,
46:20.6,0.5,墙壁电源,2.44,2.57,0.97,2.743,2.596,0.622,T1,,,,,,,,,
46:20.7,0.5,墙壁电源,2.44,2.57,0.97,2.325,2.215,1.111,T0,,,,,,,,,
46:20.8,0.5,墙壁电源,2.44,2.57,0.97,2.378,2.124,1.159,T0,,,,,,,,,
46:21.6,0.5,墙壁电源,2.44,2.57,0.97,2.889,2.613,0.827,T1,,,,,,,,,
46:21.7,0.5,墙壁电源,2.44,2.57,0.97,2.826,2.618,0.834,T1,,,,,,,,,
46:21.8,0.5,墙壁电源,2.44,2.57,0.97,2.774,2.634,0.828,T1,,,,,,,,,
46:21.9,0.5,墙壁电源,2.44,2.57,0.97,2.767,2.614,0.834,T1,,,,,,,,,
46:22.0,0.5,墙壁电源,2.44,2.57,0.97,2.75,2.605,0.833,T1,,,,,,,,,
46:22.1,0.5,墙壁电源,2.44,2.57,0.97,2.726,2.586,0.827,T1,,,,,,,,,
46:22.2,0.5,墙壁电源,2.44,2.57,0.97,2.671,2.573,0.814,T1,,,,,,,,,
46:22.3,0.5,墙壁电源,2.44,2.57,0.97,2.59,2.563,0.798,T1,,,,,,,,,
46:22.4,0.5,墙壁电源,2.44,2.57,0.97,2.519,2.517,0.791,T1,,,,,,,,,
46:22.5,0.5,墙壁电源,2.44,2.57,0.97,2.432,2.485,0.77,T1,,,,,,,,,
46:22.6,0.5,墙壁电源,2.44,2.57,0.97,2.362,2.456,0.757,T1,,,,,,,,,
46:22.7,0.5,墙壁电源,2.44,2.57,0.97,2.298,2.442,0.747,T1,,,,,,,,,
46:22.8,0.5,墙壁电源,2.44,2.57,0.97,2.243,2.434,0.745,T1,,,,,,,,,
46:22.9,0.5,墙壁电源,2.44,2.57,0.97,2.177,2.436,0.729,T1,,,,,,,,,
46:23.0,0.5,墙壁电源,2.44,2.57,0.97,2.12,2.436,0.7,T1,,,,,,,,,
46:23.1,0.5,墙壁电源,2.44,2.57,0.97,2.071,2.435,0.705,T1,,,,,,,,,
46:23.7,0.5,焊机电源,1.45,2.1,0.39,1.633,2.453,0.612,T1,打开焊机电源,,,,,,,,
46:23.8,0.5,焊机电源,1.45,2.1,0.39,1.564,2.437,0.609,T1,,,,,,,,,
46:23.9,0.5,焊机电源,1.45,2.1,0.39,1.514,2.41,0.629,T1,,,,,,,,,
46:24.0,0.5,焊机电源,1.45,2.1,0.39,1.471,2.381,0.657,T1,,,,,,,,,
46:24.1,0.5,焊机电源,1.45,2.1,0.39,1.434,2.351,0.688,T1,,,,,,,,,
46:24.2,0.5,焊机电源,1.45,2.1,0.39,1.408,2.32,0.725,T1,,,,,,,,,
46:24.3,0.5,焊机电源,1.45,2.1,0.39,1.38,2.304,0.731,T1,,,,,,,,,
46:24.4,0.5,焊机电源,1.45,2.1,0.39,1.35,2.311,0.641,T1,,,,,,,,,
46:24.5,0.5,焊机电源,1.45,2.1,0.39,1.312,2.324,0.577,T1,,,,,,,,,
46:24.6,0.5,焊机电源,1.45,2.1,0.39,1.284,2.339,0.464,T1,,,,,,,,,
46:24.7,0.5,焊机电源,1.45,2.1,0.39,1.262,2.355,0.351,T1,,,,,,,,,
46:24.8,0.5,焊机电源,1.45,2.1,0.39,1.245,2.371,0.236,T1,,,,,,,,,
46:24.9,0.5,焊机电源,1.45,2.1,0.39,1.23,2.388,0.122,T1,,,,,,,,,
46:25.0,0.5,焊机电源,1.45,2.1,0.39,1.221,2.391,0.088,T1,,,,,,,,,
46:32.1,0.5,焊机电源,1.45,2.1,0.39,1.684,2.481,0.402,T1,,,,,,,,,
46:32.2,0.5,焊机电源,1.45,2.1,0.39,1.613,2.347,0.606,T1,,,,,,,,,
46:32.3,0.5,焊机电源,1.45,2.1,0.39,1.55,2.202,0.798,T1,,,,,,,,,
46:33.6,0.5,电压电流旋钮,1.56,1.5,0.37,1.353,1.537,0.82,T1,调节旋钮,,,,,,,,
46:33.7,0.5,电压电流旋钮,1.56,1.5,0.37,1.338,1.558,0.771,T1,,,,,,,,,
46:33.8,0.5,电压电流旋钮,1.56,1.5,0.37,1.32,1.582,0.72,T1,,,,,,,,,
46:33.9,0.5,电压电流旋钮,1.56,1.5,0.37,1.306,1.602,0.672,T1,,,,,,,,,
46:34.0,0.5,电压电流旋钮,1.56,1.5,0.37,1.292,1.617,0.643,T1,,,,,,,,,
46:34.1,0.5,电压电流旋钮,1.56,1.5,0.37,1.276,1.63,0.62,T1,,,,,,,,,
46:34.2,0.5,电压电流旋钮,1.56,1.5,0.37,1.26,1.641,0.608,T1,,,,,,,,,
46:34.3,0.5,电压电流旋钮,1.56,1.5,0.37,1.246,1.648,0.606,T1,,,,,,,,,
46:34.4,0.5,电压电流旋钮,1.56,1.5,0.37,1.232,1.649,0.619,T1,,,,,,,,,
46:34.5,0.5,电压电流旋钮,1.56,1.5,0.37,1.218,1.651,0.633,T1,,,,,,,,,
46:34.6,0.5,电压电流旋钮,1.56,1.5,0.37,1.208,1.653,0.644,T1,,,,,,,,,
46:34.7,0.5,电压电流旋钮,1.56,1.5,0.37,1.201,1.651,0.664,T1,,,,,,,,,
46:37.3,0.5,焊机电源,1.45,2.1,0.39,1.01,1.932,0.28,T1,人体移动,,,,,,,,
46:37.4,0.5,焊机电源,1.45,2.1,0.39,1.058,1.93,0.39,T1,,,,,,,,,
46:37.5,0.5,焊机电源,1.45,2.1,0.39,1.112,1.937,0.45,T1,,,,,,,,,
46:37.6,0.5,焊机电源,1.45,2.1,0.39,1.183,1.94,0.514,T1,,,,,,,,,
46:37.7,0.5,焊机电源,1.45,2.1,0.39,1.273,1.936,0.631,T1,,,,,,,,,
46:37.8,0.5,焊机电源,1.45,2.1,0.39,1.378,1.941,0.708,T1,,,,,,,,,
46:37.9,0.5,焊机电源,1.45,2.1,0.39,1.499,1.959,0.765,T1,,,,,,,,,
46:38.0,0.5,焊机电源,1.45,2.1,0.39,1.608,2.013,0.805,T1,,,,,,,,,
46:38.5,0.5,墙壁电源,2.44,2.57,0.97,1.968,2.566,0.83,T1,,,,,,,,,
46:39.9,0.5,接地夹下端,3.02,1.53,1.61,2.935,1.721,1.192,T0,,,,,,,,,
46:40.0,0.5,接地夹下端,3.02,1.53,1.61,3.05,1.775,1.222,T0,,,,,,,,,
46:40.0,0.5,接地夹下端,3.02,1.53,1.61,2.589,1.497,1.495,T1,,,,,,,,,
46:40.1,0.5,焊把钳下端,3.02,1.15,1.56,2.71,1.465,1.55,T1,,,,,,,,,
46:40.1,0.5,接地夹下端,3.02,1.53,1.61,2.71,1.465,1.55,T1,,,,,,,,,
46:40.2,0.5,焊把钳下端,3.02,1.15,1.56,2.748,1.527,1.627,T1,,,,,,,,,
46:40.2,0.5,接地夹下端,3.02,1.53,1.61,2.748,1.527,1.627,T1,,,,,,,,,
46:40.3,0.5,接地夹下端,3.02,1.53,1.61,2.68,1.694,1.685,T1,,,,,,,,,
46:42.0,0.5,接地夹下端,3.02,1.53,1.61,2.683,1.677,1.815,T1,,,,,,,,,
46:42.1,0.5,接地夹下端,3.02,1.53,1.61,2.671,1.548,1.76,T1,,,,,,,,,
46:42.2,0.5,焊把钳下端,3.02,1.15,1.56,2.658,1.441,1.707,T1,,,,,,,,,
46:42.2,0.5,接地夹下端,3.02,1.53,1.61,2.658,1.441,1.707,T1,,,,,,,,,
46:42.3,0.5,焊把钳下端,3.02,1.15,1.56,2.637,1.339,1.667,T1,,,,,,,,,
46:42.3,0.5,接地夹下端,3.02,1.53,1.61,2.637,1.339,1.667,T1,,接触时间，排除误报,,,,,,,
46:42.4,0.5,焊把钳下端,3.02,1.15,1.56,2.615,1.233,1.641,T1,,,,,,,,,
46:42.5,0.5,焊把钳下端,3.02,1.15,1.56,2.592,1.144,1.617,T1,,,,,,,,,
46:42.6,0.5,焊把钳下端,3.02,1.15,1.56,2.559,1.074,1.597,T1,,,,,,,,,
46:43.2,0.5,焊把钳下端,3.02,1.15,1.56,3.216,1.222,1.186,T0,,,,,,,,,
46:43.3,0.5,焊把钳下端,3.02,1.15,1.56,3.129,1.198,1.193,T0,,,,,,,,,
46:43.4,0.5,焊把钳下端,3.02,1.15,1.56,3.052,1.172,1.191,T0,,,,,,,,,
46:43.5,0.5,焊把钳下端,3.02,1.15,1.56,2.993,1.142,1.187,T0,,,,,,,,,
46:43.6,0.5,焊把钳下端,3.02,1.15,1.56,2.944,1.109,1.185,T0,,,,,,,,,
46:43.7,0.5,焊把钳下端,3.02,1.15,1.56,2.902,1.076,1.181,T0,,,,,,,,,
46:43.8,0.5,焊把钳下端,3.02,1.15,1.56,2.87,1.042,1.179,T0,,,,,,,,,
46:43.9,0.5,焊把钳下端,3.02,1.15,1.56,2.804,1.008,1.17,T0,,,,,,,,,
46:46.8,0.5,焊机电源,1.45,2.1,0.39,1.675,2.031,0.813,T1,,,,,,,,,
46:46.9,0.5,焊机电源,1.45,2.1,0.39,1.644,2.128,0.64,T1,,,,,,,,,
46:47.0,0.5,焊机电源,1.45,2.1,0.39,1.62,2.225,0.514,T1,,,,,,,,,
46:47.1,0.5,焊机电源,1.45,2.1,0.39,1.598,2.318,0.359,T1,,,,,,,,,
46:47.2,0.5,焊机电源,1.45,2.1,0.39,1.574,2.42,0.213,T1,,,,,,,,,
46:48.8,0.5,墙壁电源,2.44,2.57,0.97,2.271,2.892,0.693,T1,,,,,,,,,
46:48.9,0.5,墙壁电源,2.44,2.57,0.97,2.281,2.842,0.795,T1,,,,,,,,,
46:49.0,0.5,墙壁电源,2.44,2.57,0.97,2.26,2.794,0.803,T1,,,,,,,,,
46:49.1,0.5,墙壁电源,2.44,2.57,0.97,2.222,2.737,0.796,T1,,,,,,,,,
46:49.2,0.5,墙壁电源,2.44,2.57,0.97,2.142,2.702,0.733,T1,,,,,,,,,
46:53.6,0.5,待焊钢板,0.81,0.46,0,0.969,0.021,0.017,T0,拿、放待焊钢板、钢刷、面罩,,,,,,,,
46:53.7,0.5,待焊钢板,0.81,0.46,0,0.978,0.052,0.067,T0,,,,,,,,,
46:53.8,0.5,待焊钢板,0.81,0.46,0,0.986,0.081,-0.16,T0,,,,,,,,,
46:53.9,0.5,待焊钢板,0.81,0.46,0,0.966,0.517,0.445,T1,,,,,,,,,
46:54.0,0.5,待焊钢板,0.81,0.46,0,0.943,0.51,0.407,T1,,,,,,,,,
46:54.1,0.5,待焊钢板,0.81,0.46,0,0.924,0.503,0.39,T1,,,,,,,,,
46:54.2,0.5,待焊钢板,0.81,0.46,0,0.91,0.495,0.394,T1,,,,,,,,,
46:54.3,0.5,待焊钢板,0.81,0.46,0,0.708,0.327,-0.332,T0,,,,,,,,,
46:54.3,0.5,待焊钢板,0.81,0.46,0,0.895,0.453,0.461,T1,,,,,,,,,
