时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号,,灭火器→油箱→接地夹、焊把钳→墙壁电源→焊机电源→电压电流旋钮→待焊钢板、钢刷→焊接时手腕位置→焊机电源→墙壁电源→接地夹、焊把钳→锤子,,,,,,,
45:23.4,0.5,油箱顶部,2.86,0.42,0.25,2.932,0.558,0.583,T0,,,,,,,,,
45:23.4,0.5,灭火器把手,2.84,0.69,0.5,2.932,0.558,0.583,T0,,,,,,,,,
45:23.4,0.5,灭火器把手,2.84,0.69,0.5,2.941,0.753,0.753,T1,,,,,,,,,
45:23.5,0.5,油箱顶部,2.86,0.42,0.25,2.963,0.568,0.555,T0,,,,,,,,,
45:23.5,0.5,灭火器把手,2.84,0.69,0.5,2.963,0.568,0.555,T0,,,,,,,,,
45:23.5,0.5,灭火器把手,2.84,0.69,0.5,2.963,0.742,0.697,T1,,,,,,,,,
45:23.6,0.5,油箱顶部,2.86,0.42,0.25,3.017,0.553,0.45,T0,,,,,,,,,
45:23.6,0.5,灭火器把手,2.84,0.69,0.5,3.017,0.553,0.45,T0,,,,,,,,,
45:23.6,0.5,灭火器把手,2.84,0.69,0.5,2.984,0.733,0.647,T1,,,,,,,,,
45:23.7,0.5,油箱顶部,2.86,0.42,0.25,3.032,0.56,0.432,T0,,,,,,,,,
45:23.7,0.5,灭火器把手,2.84,0.69,0.5,3.032,0.56,0.432,T0,,,,,,,,,
45:23.7,0.5,油箱顶部,2.86,0.42,0.25,3.003,0.727,0.6,T1,,,,,,,,,
45:23.7,0.5,灭火器把手,2.84,0.69,0.5,3.003,0.727,0.6,T1,,,,,,,,,
45:23.8,0.5,油箱顶部,2.86,0.42,0.25,3.044,0.567,0.42,T0,,,,,,,,,
45:23.8,0.5,灭火器把手,2.84,0.69,0.5,3.044,0.567,0.42,T0,,,,,,,,,
45:23.8,0.5,油箱顶部,2.86,0.42,0.25,3.019,0.723,0.558,T1,,,,,,,,,
45:23.8,0.5,灭火器把手,2.84,0.69,0.5,3.019,0.723,0.558,T1,,,,,,,,,
45:23.9,0.5,油箱顶部,2.86,0.42,0.25,3.051,0.572,0.408,T0,,,,,,,,,
45:23.9,0.5,灭火器把手,2.84,0.69,0.5,3.051,0.572,0.408,T0,,,,,,,,,
45:23.9,0.5,油箱顶部,2.86,0.42,0.25,3.034,0.717,0.522,T1,,,,,,,,,
45:23.9,0.5,灭火器把手,2.84,0.69,0.5,3.034,0.717,0.522,T1,,,,,,,,,
45:24.0,0.5,油箱顶部,2.86,0.42,0.25,3.058,0.57,0.411,T0,,,,,,,,,
45:24.0,0.5,灭火器把手,2.84,0.69,0.5,3.058,0.57,0.411,T0,,,,,,,,,
45:24.0,0.5,油箱顶部,2.86,0.42,0.25,3.047,0.711,0.487,T1,,,,,,,,,
45:24.0,0.5,灭火器把手,2.84,0.69,0.5,3.047,0.711,0.487,T1,,,,,,,,,
45:24.1,0.5,油箱顶部,2.86,0.42,0.25,3.062,0.567,0.408,T0,,,,,,,,,
45:24.1,0.5,灭火器把手,2.84,0.69,0.5,3.062,0.567,0.408,T0,,,,,,,,,
45:24.1,0.5,油箱顶部,2.86,0.42,0.25,3.063,0.705,0.458,T1,,,,,,,,,
45:24.1,0.5,灭火器把手,2.84,0.69,0.5,3.063,0.705,0.458,T1,,,,,,,,,
45:24.2,0.5,油箱顶部,2.86,0.42,0.25,3.035,0.586,0.491,T0,,,,,,,,,
45:24.2,0.5,灭火器把手,2.84,0.69,0.5,3.035,0.586,0.491,T0,,,,,,,,,
45:24.2,0.5,油箱顶部,2.86,0.42,0.25,3.075,0.702,0.428,T1,,,,,,,,,
45:24.2,0.5,灭火器把手,2.84,0.69,0.5,3.075,0.702,0.428,T1,,,,,,,,,
45:24.3,0.5,油箱顶部,2.86,0.42,0.25,3.038,0.576,0.494,T0,,,,,,,,,
45:24.3,0.5,灭火器把手,2.84,0.69,0.5,3.038,0.576,0.494,T0,,,,,,,,,
45:24.3,0.5,油箱顶部,2.86,0.42,0.25,3.086,0.698,0.403,T1,,,,,,,,,
45:24.3,0.5,灭火器把手,2.84,0.69,0.5,3.086,0.698,0.403,T1,,,,,,,,,
45:24.4,0.5,油箱顶部,2.86,0.42,0.25,3.04,0.563,0.497,T0,,,,,,,,,
45:24.4,0.5,灭火器把手,2.84,0.69,0.5,3.04,0.563,0.497,T0,,,,,,,,,
45:24.4,0.5,油箱顶部,2.86,0.42,0.25,3.095,0.696,0.377,T1,,,,,,,,,
45:24.4,0.5,灭火器把手,2.84,0.69,0.5,3.095,0.696,0.377,T1,,,,,,,,,
45:24.5,0.5,油箱顶部,2.86,0.42,0.25,3.042,0.549,0.503,T0,,,,,,,,,
45:24.5,0.5,灭火器把手,2.84,0.69,0.5,3.042,0.549,0.503,T0,,,,,,,,,
45:24.5,0.5,油箱顶部,2.86,0.42,0.25,3.102,0.696,0.346,T1,,,,,,,,,
45:24.5,0.5,灭火器把手,2.84,0.69,0.5,3.102,0.696,0.346,T1,,,,,,,,,
45:24.6,0.5,油箱顶部,2.86,0.42,0.25,3.04,0.543,0.5,T0,,,,,,,,,
45:24.6,0.5,灭火器把手,2.84,0.69,0.5,3.04,0.543,0.5,T0,,,,,,,,,
45:24.6,0.5,油箱顶部,2.86,0.42,0.25,3.11,0.696,0.316,T1,,,,,,,,,
45:24.6,0.5,灭火器把手,2.84,0.69,0.5,3.11,0.696,0.316,T1,,,,,,,,,
45:24.7,0.5,油箱顶部,2.86,0.42,0.25,3.035,0.534,0.507,T0,,,,,,,,,
45:24.7,0.5,灭火器把手,2.84,0.69,0.5,3.035,0.534,0.507,T0,,,,,,,,,
45:24.7,0.5,油箱顶部,2.86,0.42,0.25,3.111,0.696,0.293,T1,,,,,,,,,
45:24.7,0.5,灭火器把手,2.84,0.69,0.5,3.111,0.696,0.293,T1,,,,,,,,,
45:24.8,0.5,油箱顶部,2.86,0.42,0.25,3.025,0.527,0.514,T0,,,,,,,,,
45:24.8,0.5,灭火器把手,2.84,0.69,0.5,3.025,0.527,0.514,T0,,,,,,,,,
45:24.8,0.5,油箱顶部,2.86,0.42,0.25,3.11,0.691,0.278,T1,,,,,,,,,
45:24.8,0.5,灭火器把手,2.84,0.69,0.5,3.11,0.691,0.278,T1,,,,,,,,,
45:24.9,0.5,油箱顶部,2.86,0.42,0.25,3.005,0.523,0.523,T0,,,,,,,,,
45:24.9,0.5,灭火器把手,2.84,0.69,0.5,3.005,0.523,0.523,T0,,,,,,,,,
45:24.9,0.5,油箱顶部,2.86,0.42,0.25,3.103,0.685,0.279,T1,,,,,,,,,
45:24.9,0.5,灭火器把手,2.84,0.69,0.5,3.103,0.685,0.279,T1,,,,,,,,,
45:25.0,0.5,油箱顶部,2.86,0.42,0.25,2.975,0.522,0.54,T0,,,,,,,,,
45:25.0,0.5,灭火器把手,2.84,0.69,0.5,2.975,0.522,0.54,T0,,,,,,,,,
45:25.0,0.5,油箱顶部,2.86,0.42,0.25,3.089,0.671,0.292,T1,,,,,,,,,
