from_super_state,to_super_state,from_sub_state,to_sub_state,contact_time,point_name,distance,threshold_value,reason,completed_states
INITIAL,MOVING,S0,S0,2026-01-21 16:11:19.342000,面罩把手,,,,
MOVING,OPERATION,S0,S0,2026-01-21 16:11:19.392000,面罩把手,,,,
OPERATION,OPERATION,S0,S1,2026-01-21 16:11:26.343000,灭火器把手,0.2472326839234649,0.25,,
OPERATION,OPERATION,S1,S2,2026-01-21 16:11:27.793000,油箱顶部,0.3225104649464883,0.35,,
OPERATION,OPERATION,S2,S3,2026-01-21 16:12:13.890000,焊机电源,0.4694038772741442,0.5,,
OPERATION,OPERATION,S3,S4,2026-01-21 16:12:17.440000,接地夹下端,0.1799138682814642,0.63,,
OPERATION,OPERATION,S4,S5,2026-01-21 16:12:35.490000,墙壁电源,0.2413793694581207,0.25,,
OPERATION,OPERATION,S5,S6,2026-01-21 16:12:40.390000,焊机电源,0.4324083717968466,0.5,,
OPERATION,OPERATION,S6,S7,2026-01-21 16:13:01.837000,电压电流旋钮,0.5359346975145386,0.6,,
OPERATION,OPERATION,S7,S8,2026-01-21 16:13:04.989000,焊机电源,0.4784224075019898,0.5,,
OPERATION,OPERATION,S8,S9,2026-01-21 16:13:56.136000,面罩把手,0.4098597321035576,0.45,,
OPERATION,OPERATION,S9,S10,2026-01-21 16:14:03.336000,焊机电源,0.3858186102302479,0.5,,
OPERATION,OPERATION,S10,S11,2026-01-21 16:14:07.985000,墙壁电源,0.2403185386107361,0.25,,
OPERATION,OPERATION,S11,S12,2026-01-21 16:14:18.485000,接地夹下端,0.5601428389259298,0.63,,
OPERATION,OPERATION,S12,S13,2026-01-21 16:14:29.335000,锤子,0.5418828286631714,0.6,,
OPERATION,END,S13,S13,,,,,workflow_completed,"['S8', 'S3', 'S13', 'S9', 'S6', 'S2', 'S7', 'S10', 'S11', 'S5', 'S4', 'S12', 'S1']"
