时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号,
"2026-01-21 16:11:26.241",0.300,"灭火器把手",2.840,0.690,0.500,2.679,0.631,0.729,"T1",
"2026-01-21 16:11:26.341",0.300,"灭火器把手",2.840,0.690,0.500,2.692,0.622,0.686,"T1",
"2026-01-21 16:11:26.440",0.300,"灭火器把手",2.840,0.690,0.500,2.703,0.613,0.644,"T1",
"2026-01-21 16:11:26.541",0.300,"灭火器把手",2.840,0.690,0.500,2.711,0.604,0.603,"T1",
"2026-01-21 16:11:26.641",0.300,"灭火器把手",2.840,0.690,0.500,2.713,0.595,0.565,"T1",
"2026-01-21 16:11:26.741",0.300,"灭火器把手",2.840,0.690,0.500,2.713,0.589,0.531,"T1",
"2026-01-21 16:11:26.791",0.300,"灭火器把手",2.840,0.690,0.500,3.095,0.622,0.430,"T0",
"2026-01-21 16:11:26.841",0.300,"灭火器把手",2.840,0.690,0.500,2.707,0.586,0.502,"T1",
"2026-01-21 16:11:26.891",0.300,"灭火器把手",2.840,0.690,0.500,3.064,0.621,0.457,"T0",
"2026-01-21 16:11:26.940",0.300,"灭火器把手",2.840,0.690,0.500,2.700,0.584,0.477,"T1",
"2026-01-21 16:11:26.991",0.300,"灭火器把手",2.840,0.690,0.500,3.037,0.622,0.476,"T0",
"2026-01-21 16:11:27.041",0.300,"灭火器把手",2.840,0.690,0.500,2.696,0.581,0.454,"T1",
"2026-01-21 16:11:27.092",0.300,"灭火器把手",2.840,0.690,0.500,3.015,0.625,0.490,"T0",
"2026-01-21 16:11:27.141",0.300,"油箱顶部",2.860,0.420,0.250,2.691,0.577,0.436,"T1",
"2026-01-21 16:11:27.141",0.300,"灭火器把手",2.840,0.690,0.500,2.691,0.577,0.436,"T1",
"2026-01-21 16:11:27.192",0.300,"灭火器把手",2.840,0.690,0.500,2.998,0.627,0.498,"T0",
"2026-01-21 16:11:27.240",0.300,"油箱顶部",2.860,0.420,0.250,2.693,0.573,0.418,"T1",
"2026-01-21 16:11:27.240",0.300,"灭火器把手",2.840,0.690,0.500,2.693,0.573,0.418,"T1",
"2026-01-21 16:11:27.291",0.300,"灭火器把手",2.840,0.690,0.500,2.991,0.630,0.497,"T0",
"2026-01-21 16:11:27.340",0.300,"油箱顶部",2.860,0.420,0.250,2.697,0.569,0.399,"T1",
"2026-01-21 16:11:27.340",0.300,"灭火器把手",2.840,0.690,0.500,2.697,0.569,0.399,"T1",
"2026-01-21 16:11:27.391",0.300,"灭火器把手",2.840,0.690,0.500,2.993,0.634,0.486,"T0",
"2026-01-21 16:11:27.440",0.300,"油箱顶部",2.860,0.420,0.250,2.705,0.567,0.389,"T1",
"2026-01-21 16:11:27.440",0.300,"灭火器把手",2.840,0.690,0.500,2.705,0.567,0.389,"T1",
"2026-01-21 16:11:27.491",0.300,"灭火器把手",2.840,0.690,0.500,3.004,0.640,0.465,"T0",
"2026-01-21 16:11:27.540",0.300,"油箱顶部",2.860,0.420,0.250,2.717,0.567,0.395,"T1",
"2026-01-21 16:11:27.540",0.300,"灭火器把手",2.840,0.690,0.500,2.717,0.567,0.395,"T1",
"2026-01-21 16:11:27.591",0.300,"灭火器把手",2.840,0.690,0.500,3.019,0.646,0.432,"T0",
"2026-01-21 16:11:27.641",0.300,"油箱顶部",2.860,0.420,0.250,2.716,0.583,0.447,"T1",
"2026-01-21 16:11:27.641",0.300,"灭火器把手",2.840,0.690,0.500,2.716,0.583,0.447,"T1",
"2026-01-21 16:11:27.691",0.300,"灭火器把手",2.840,0.690,0.500,3.033,0.653,0.392,"T0",
"2026-01-21 16:11:27.741",0.300,"灭火器把手",2.840,0.690,0.500,2.717,0.605,0.501,"T1",
"2026-01-21 16:11:27.791",0.300,"灭火器把手",2.840,0.690,0.500,3.052,0.663,0.340,"T0",
"2026-01-21 16:11:27.841",0.300,"灭火器把手",2.840,0.690,0.500,2.720,0.625,0.551,"T1",
"2026-01-21 16:11:27.941",0.300,"灭火器把手",2.840,0.690,0.500,2.727,0.646,0.597,"T1",
"2026-01-21 16:11:28.041",0.300,"灭火器把手",2.840,0.690,0.500,2.736,0.662,0.632,"T1",
"2026-01-21 16:11:28.141",0.300,"灭火器把手",2.840,0.690,0.500,2.750,0.677,0.650,"T1",
"2026-01-21 16:11:28.241",0.300,"灭火器把手",2.840,0.690,0.500,2.779,0.675,0.618,"T1",
"2026-01-21 16:11:28.340",0.300,"灭火器把手",2.840,0.690,0.500,2.808,0.672,0.575,"T1",
"2026-01-21 16:11:28.440",0.300,"灭火器把手",2.840,0.690,0.500,2.833,0.672,0.538,"T1",
"2026-01-21 16:11:28.541",0.300,"灭火器把手",2.840,0.690,0.500,2.853,0.675,0.514,"T1",
"2026-01-21 16:11:28.641",0.300,"灭火器把手",2.840,0.690,0.500,2.867,0.680,0.494,"T1",
"2026-01-21 16:11:28.741",0.300,"灭火器把手",2.840,0.690,0.500,2.875,0.682,0.477,"T1",
"2026-01-21 16:11:28.840",0.300,"灭火器把手",2.840,0.690,0.500,2.877,0.682,0.466,"T1",
"2026-01-21 16:11:28.940",0.300,"灭火器把手",2.840,0.690,0.500,2.875,0.679,0.460,"T1",
"2026-01-21 16:11:29.041",0.300,"灭火器把手",2.840,0.690,0.500,2.870,0.674,0.457,"T1",
"2026-01-21 16:11:29.141",0.300,"灭火器把手",2.840,0.690,0.500,2.865,0.666,0.446,"T1",
"2026-01-21 16:11:29.241",0.300,"灭火器把手",2.840,0.690,0.500,2.859,0.660,0.438,"T1",
"2026-01-21 16:11:29.340",0.300,"油箱顶部",2.860,0.420,0.250,2.854,0.654,0.435,"T1",
"2026-01-21 16:11:29.340",0.300,"灭火器把手",2.840,0.690,0.500,2.854,0.654,0.435,"T1",
"2026-01-21 16:11:29.440",0.300,"油箱顶部",2.860,0.420,0.250,2.849,0.650,0.430,"T1",
"2026-01-21 16:11:29.440",0.300,"灭火器把手",2.840,0.690,0.500,2.849,0.650,0.430,"T1",
"2026-01-21 16:11:29.541",0.300,"油箱顶部",2.860,0.420,0.250,2.845,0.648,0.426,"T1",
"2026-01-21 16:11:29.541",0.300,"灭火器把手",2.840,0.690,0.500,2.845,0.648,0.426,"T1",
"2026-01-21 16:11:29.641",0.300,"油箱顶部",2.860,0.420,0.250,2.837,0.661,0.421,"T1",
"2026-01-21 16:11:29.641",0.300,"灭火器把手",2.840,0.690,0.500,2.837,0.661,0.421,"T1",
"2026-01-21 16:11:29.741",0.300,"灭火器把手",2.840,0.690,0.500,2.833,0.664,0.433,"T1",
"2026-01-21 16:11:29.841",0.300,"灭火器把手",2.840,0.690,0.500,2.829,0.666,0.440,"T1",
"2026-01-21 16:11:29.941",0.300,"灭火器把手",2.840,0.690,0.500,2.825,0.668,0.445,"T1",
"2026-01-21 16:11:30.041",0.300,"灭火器把手",2.840,0.690,0.500,2.822,0.670,0.451,"T1",
"2026-01-21 16:11:30.141",0.300,"灭火器把手",2.840,0.690,0.500,2.817,0.669,0.455,"T1",
"2026-01-21 16:11:30.241",0.300,"灭火器把手",2.840,0.690,0.500,2.816,0.656,0.463,"T1",
"2026-01-21 16:11:30.340",0.300,"灭火器把手",2.840,0.690,0.500,2.813,0.650,0.458,"T1",
"2026-01-21 16:11:30.440",0.300,"灭火器把手",2.840,0.690,0.500,2.810,0.643,0.455,"T1",
"2026-01-21 16:11:30.541",0.300,"灭火器把手",2.840,0.690,0.500,2.799,0.646,0.481,"T1",
"2026-01-21 16:11:30.641",0.300,"灭火器把手",2.840,0.690,0.500,2.792,0.641,0.476,"T1",
"2026-01-21 16:11:30.741",0.300,"灭火器把手",2.840,0.690,0.500,2.781,0.637,0.476,"T1",
"2026-01-21 16:11:30.840",0.300,"灭火器把手",2.840,0.690,0.500,2.766,0.630,0.480,"T1",
"2026-01-21 16:11:30.940",0.300,"灭火器把手",2.840,0.690,0.500,2.741,0.622,0.497,"T1",
"2026-01-21 16:11:31.040",0.300,"灭火器把手",2.840,0.690,0.500,2.707,0.612,0.516,"T1",
"2026-01-21 16:11:31.142",0.300,"灭火器把手",2.840,0.690,0.500,2.676,0.587,0.514,"T1",
"2026-01-21 16:11:31.241",0.300,"灭火器把手",2.840,0.690,0.500,2.637,0.568,0.554,"T1",
"2026-01-21 16:11:31.340",0.300,"灭火器把手",2.840,0.690,0.500,2.597,0.546,0.598,"T1",
"2026-01-21 16:11:34.040",0.300,"油箱顶部",2.860,0.420,0.250,2.638,0.287,0.398,"T1",
"2026-01-21 16:11:34.140",0.300,"油箱顶部",2.860,0.420,0.250,2.647,0.304,0.206,"T1",
"2026-01-21 16:11:35.691",0.300,"油箱顶部",2.860,0.420,0.250,3.124,0.339,0.165,"T0",
"2026-01-21 16:11:35.791",0.300,"油箱顶部",2.860,0.420,0.250,3.086,0.325,0.248,"T0",
"2026-01-21 16:11:35.891",0.300,"油箱顶部",2.860,0.420,0.250,3.033,0.301,0.343,"T0",
"2026-01-21 16:11:35.991",0.300,"油箱顶部",2.860,0.420,0.250,2.950,0.270,0.451,"T0",
"2026-01-21 16:11:43.590",0.300,"焊把钳下端",3.020,1.150,1.560,3.030,1.082,1.322,"T0",
"2026-01-21 16:11:43.690",0.300,"焊把钳下端",3.020,1.150,1.560,2.920,1.300,1.380,"T0",
"2026-01-21 16:12:17.238",0.300,"焊把钳下端",3.020,1.150,1.560,2.988,1.153,1.787,"T1",
"2026-01-21 16:12:17.338",0.300,"焊把钳下端",3.020,1.150,1.560,2.928,1.296,1.708,"T1",
"2026-01-21 16:12:17.338",0.300,"接地夹下端",3.020,1.530,1.610,2.928,1.296,1.708,"T1",
"2026-01-21 16:12:17.439",0.300,"焊把钳下端",3.020,1.150,1.560,2.889,1.408,1.628,"T1",
"2026-01-21 16:12:17.439",0.300,"接地夹下端",3.020,1.530,1.610,2.889,1.408,1.628,"T1",
"2026-01-21 16:12:17.539",0.300,"接地夹下端",3.020,1.530,1.610,2.884,1.478,1.536,"T1",
"2026-01-21 16:12:17.639",0.300,"接地夹下端",3.020,1.530,1.610,2.896,1.538,1.454,"T1",
"2026-01-21 16:12:17.740",0.300,"接地夹下端",3.020,1.530,1.610,2.938,1.585,1.386,"T1",
"2026-01-21 16:12:17.789",0.300,"接地夹下端",3.020,1.530,1.610,2.847,1.323,1.738,"T0",
"2026-01-21 16:12:17.839",0.300,"接地夹下端",3.020,1.530,1.610,2.988,1.620,1.326,"T1",
"2026-01-21 16:12:17.889",0.300,"焊把钳下端",3.020,1.150,1.560,2.961,1.313,1.735,"T0",
"2026-01-21 16:12:17.889",0.300,"接地夹下端",3.020,1.530,1.610,2.961,1.313,1.735,"T0",
"2026-01-21 16:12:17.990",0.300,"焊把钳下端",3.020,1.150,1.560,3.042,1.292,1.727,"T0",
"2026-01-21 16:12:17.990",0.300,"接地夹下端",3.020,1.530,1.610,3.042,1.292,1.727,"T0",
"2026-01-21 16:12:18.089",0.300,"焊把钳下端",3.020,1.150,1.560,3.117,1.342,1.666,"T0",
"2026-01-21 16:12:18.089",0.300,"接地夹下端",3.020,1.530,1.610,3.117,1.342,1.666,"T0",
"2026-01-21 16:12:18.189",0.300,"焊把钳下端",3.020,1.150,1.560,3.171,1.335,1.652,"T0",
"2026-01-21 16:12:18.189",0.300,"接地夹下端",3.020,1.530,1.610,3.171,1.335,1.652,"T0",
"2026-01-21 16:12:18.289",0.300,"接地夹下端",3.020,1.530,1.610,3.249,1.505,1.544,"T0",
"2026-01-21 16:12:25.438",0.300,"焊把钳下端",3.020,1.150,1.560,3.173,1.018,1.534,"T1",
