contact_time,threshold_value,point_name,fixed_point_x,fixed_point_y,fixed_point_z,tag_x,tag_y,tag_z,tag_id,distance,distance_ratio
2026-01-21 16:11:19.342,0.45,面罩把手,0.24,0.83,0.0,0.09,1.064,0.238,Tag 1,0.36592348927063983,0.8131633094903107
2026-01-21 16:11:19.392,0.45,面罩把手,0.24,0.83,0.0,0.09,1.064,0.238,Tag 1,0.36592348927063983,0.8131633094903107
2026-01-21 16:11:19.443,0.45,面罩把手,0.24,0.83,0.0,0.03,1.148,0.179,Tag 1,0.421028502598102,0.9356188946624489
2026-01-21 16:11:19.493,0.45,面罩把手,0.24,0.83,0.0,0.03,1.148,0.179,Tag 1,0.421028502598102,0.9356188946624489
2026-01-21 16:11:26.343,0.25,灭火器把手,2.84,0.69,0.5,2.692,0.622,0.686,Tag 1,0.24723268392346495,0.9889307356938598
2026-01-21 16:11:26.392,0.25,灭火器把手,2.84,0.69,0.5,2.692,0.622,0.686,Tag 1,0.24723268392346495,0.9889307356938598
2026-01-21 16:11:26.443,0.25,灭火器把手,2.84,0.69,0.5,2.703,0.613,0.644,Tag 1,0.21315252754776332,0.8526101101910533
2026-01-21 16:11:26.493,0.25,灭火器把手,2.84,0.69,0.5,2.703,0.613,0.644,Tag 1,0.21315252754776332,0.8526101101910533
2026-01-21 16:11:26.542,0.25,灭火器把手,2.84,0.69,0.5,2.711,0.604,0.603,Tag 1,0.18613436007357692,0.7445374402943077
2026-01-21 16:11:26.592,0.25,灭火器把手,2.84,0.69,0.5,2.711,0.604,0.603,Tag 1,0.18613436007357692,0.7445374402943077
2026-01-21 16:11:26.643,0.25,灭火器把手,2.84,0.69,0.5,2.713,0.595,0.565,Tag 1,0.17140303381212343,0.6856121352484937
2026-01-21 16:11:26.693,0.25,灭火器把手,2.84,0.69,0.5,2.713,0.595,0.565,Tag 1,0.17140303381212343,0.6856121352484937
