contact_time,threshold_value,point_name,fixed_point_x,fixed_point_y,fixed_point_z,tag_x,tag_y,tag_z,tag_id,distance,distance_ratio
2026-01-21 16:03:27.161,0.25,灭火器把手,2.84,0.69,0.5,2.678,0.64,0.641,Tag 1,0.2205107707119994,0.8820430828479976
2026-01-21 16:03:27.211,0.25,灭火器把手,2.84,0.69,0.5,2.678,0.64,0.641,Tag 1,0.2205107707119994,0.8820430828479976
2026-01-21 16:03:27.261,0.25,灭火器把手,2.84,0.69,0.5,2.701,0.635,0.616,Tag 1,0.18921416437465757,0.7568566574986303
2026-01-21 16:03:27.312,0.25,灭火器把手,2.84,0.69,0.5,2.701,0.635,0.616,Tag 1,0.18921416437465757,0.7568566574986303
2026-01-21 16:03:27.362,0.25,灭火器把手,2.84,0.69,0.5,2.725,0.628,0.581,Tag 1,0.15372052563011854,0.6148821025204741
2026-01-21 16:03:27.411,0.25,灭火器把手,2.84,0.69,0.5,2.725,0.628,0.581,Tag 1,0.15372052563011854,0.6148821025204741
2026-01-21 16:03:27.461,0.25,灭火器把手,2.84,0.69,0.5,2.736,0.638,0.594,Tag 1,0.14951922953252506,0.5980769181301002
2026-01-21 16:03:27.512,0.25,灭火器把手,2.84,0.69,0.5,2.736,0.638,0.594,Tag 1,0.14951922953252506,0.5980769181301002
2026-01-21 16:03:27.561,0.25,灭火器把手,2.84,0.69,0.5,2.762,0.629,0.551,Tag 1,0.11138222479372539,0.44552889917490157
2026-01-21 16:03:27.613,0.25,灭火器把手,2.84,0.69,0.5,2.762,0.629,0.551,Tag 1,0.11138222479372539,0.44552889917490157
2026-01-21 16:03:27.662,0.25,灭火器把手,2.84,0.69,0.5,2.785,0.622,0.514,Tag 1,0.08857200460642156,0.35428801842568625
2026-01-21 16:03:27.711,0.25,灭火器把手,2.84,0.69,0.5,2.785,0.622,0.514,Tag 1,0.08857200460642156,0.35428801842568625
2026-01-21 16:03:27.761,0.25,灭火器把手,2.84,0.69,0.5,2.804,0.617,0.483,Tag 1,0.0831504660239496,0.3326018640957984
2026-01-21 16:03:27.812,0.25,灭火器把手,2.84,0.69,0.5,2.804,0.617,0.483,Tag 1,0.0831504660239496,0.3326018640957984
2026-01-21 16:03:27.861,0.25,灭火器把手,2.84,0.69,0.5,2.82,0.611,0.455,Tag 1,0.09309135298189619,0.37236541192758477
2026-01-21 16:03:27.913,0.25,灭火器把手,2.84,0.69,0.5,2.82,0.611,0.455,Tag 1,0.09309135298189619,0.37236541192758477
2026-01-21 16:03:27.962,0.25,灭火器把手,2.84,0.69,0.5,2.833,0.606,0.433,Tag 1,0.10767543823918244,0.43070175295672974
2026-01-21 16:03:28.011,0.25,灭火器把手,2.84,0.69,0.5,2.833,0.606,0.433,Tag 1,0.10767543823918244,0.43070175295672974
2026-01-21 16:03:28.062,0.25,灭火器把手,2.84,0.69,0.5,2.844,0.603,0.415,Tag 1,0.12169634341261037,0.4867853736504415
2026-01-21 16:03:28.112,0.25,灭火器把手,2.84,0.69,0.5,2.844,0.603,0.415,Tag 1,0.12169634341261037,0.4867853736504415
2026-01-21 16:03:28.161,0.25,灭火器把手,2.84,0.69,0.5,2.852,0.601,0.4,Tag 1,0.13440610105199835,0.5376244042079934
2026-01-21 16:03:28.212,0.25,灭火器把手,2.84,0.69,0.5,2.852,0.601,0.4,Tag 1,0.13440610105199835,0.5376244042079934
2026-01-21 16:03:28.261,0.25,灭火器把手,2.84,0.69,0.5,2.855,0.602,0.388,Tag 1,0.14322360140703067,0.5728944056281227
2026-01-21 16:03:28.313,0.25,灭火器把手,2.84,0.69,0.5,2.855,0.602,0.388,Tag 1,0.14322360140703067,0.5728944056281227
2026-01-21 16:03:28.362,0.25,灭火器把手,2.84,0.69,0.5,2.854,0.602,0.379,Tag 1,0.15026975743641832,0.6010790297456733
2026-01-21 16:03:28.412,0.25,灭火器把手,2.84,0.69,0.5,2.854,0.602,0.379,Tag 1,0.15026975743641832,0.6010790297456733
2026-01-21 16:03:28.463,0.35,油箱顶部,2.86,0.42,0.25,2.851,0.601,0.367,Tag 1,0.21571045408139122,0.6163155830896893
2026-01-21 16:03:28.512,0.35,油箱顶部,2.86,0.42,0.25,2.851,0.601,0.367,Tag 1,0.21571045408139122,0.6163155830896893
2026-01-21 16:03:28.561,0.35,油箱顶部,2.86,0.42,0.25,2.844,0.603,0.362,Tag 1,0.21514878572745885,0.6147108163641681
2026-01-21 16:03:28.611,0.35,油箱顶部,2.86,0.42,0.25,2.844,0.603,0.362,Tag 1,0.21514878572745885,0.6147108163641681
2026-01-21 16:03:28.661,0.35,油箱顶部,2.86,0.42,0.25,2.831,0.604,0.36,Tag 1,0.21632614266426514,0.6180746933264719
2026-01-21 16:03:28.712,0.35,油箱顶部,2.86,0.42,0.25,2.831,0.604,0.36,Tag 1,0.21632614266426514,0.6180746933264719
2026-01-21 16:03:28.762,0.35,油箱顶部,2.86,0.42,0.25,2.809,0.608,0.362,Tag 1,0.2246975745307456,0.6419930700878446
2026-01-21 16:03:28.812,0.35,油箱顶部,2.86,0.42,0.25,2.809,0.608,0.362,Tag 1,0.2246975745307456,0.6419930700878446
2026-01-21 16:03:28.862,0.35,油箱顶部,2.86,0.42,0.25,2.783,0.613,0.228,Tag 1,0.2089545405106096,0.597012972887456
2026-01-21 16:03:28.911,0.35,油箱顶部,2.86,0.42,0.25,2.783,0.613,0.228,Tag 1,0.2089545405106096,0.597012972887456
