rangetime(ms),tag_ID,x(m),y(m),z(m),range0(m),range1(m),range2(m),range3(m),range4(m),range5(m),range6(m),range7(m),rx_pwr(dBm),accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll,pitch,yaw
2026-01-21 15:37:29.946,Tag 0,2.417,-0.233,0.802,2.57,1.07,3.2,,2.4,0.99,3.09,3.41,-78.71,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:29.946,Tag 1,2.258,0.89,1.075,2.67,1.57,,2.92,2.35,2.32,2.31,2.91,-78.65,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:29.996,Tag 0,2.417,-0.295,0.78,2.57,1.06,3.18,3.71,2.41,1.0,3.08,3.41,-78.98,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:29.996,Tag 1,2.258,0.89,1.075,2.67,1.57,,2.92,2.35,2.32,2.31,2.91,-78.65,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.046,Tag 0,2.417,-0.295,0.78,2.57,1.06,3.18,3.71,2.41,1.0,3.08,3.41,-78.98,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.046,Tag 1,2.267,0.906,1.051,2.67,1.56,2.13,2.92,2.35,2.23,2.3,2.91,-78.54,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.096,Tag 0,2.418,-0.357,0.76,2.58,1.05,3.18,3.73,,1.01,3.06,3.41,-78.95,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.096,Tag 1,2.267,0.906,1.051,2.67,1.56,2.13,2.92,2.35,2.23,2.3,2.91,-78.54,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.145,Tag 0,2.418,-0.357,0.76,2.58,1.05,3.18,3.73,,1.01,3.06,3.41,-78.95,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.145,Tag 1,2.273,0.901,1.045,2.66,1.55,2.13,2.92,2.35,2.3,2.31,2.91,-78.57,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.195,Tag 0,2.419,-0.416,0.739,2.59,1.05,3.21,3.75,2.41,1.02,3.03,3.41,-78.93,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.195,Tag 1,2.273,0.901,1.045,2.66,1.55,2.13,2.92,2.35,2.3,2.31,2.91,-78.57,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.245,Tag 0,2.419,-0.416,0.739,2.59,1.05,3.21,3.75,2.41,1.02,3.03,3.41,-78.93,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.245,Tag 1,2.279,0.896,1.041,2.67,1.54,2.12,2.91,2.35,2.36,2.31,2.91,-78.48,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.295,Tag 1,2.279,0.896,1.041,2.67,1.54,2.12,2.91,2.35,2.36,2.31,2.91,-78.48,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.295,Tag 0,2.42,-0.481,0.715,2.59,1.07,3.24,3.77,2.4,1.02,3.12,3.41,-79.07,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.345,Tag 1,2.281,0.893,1.035,2.67,,2.13,2.91,2.35,2.43,2.32,2.91,-78.35,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.345,Tag 0,2.42,-0.481,0.715,2.59,1.07,3.24,3.77,2.4,1.02,3.12,3.41,-79.07,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.396,Tag 1,2.281,0.893,1.035,2.67,,2.13,2.91,2.35,2.43,2.32,2.91,-78.35,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.396,Tag 0,2.421,-0.512,0.705,2.6,1.07,3.18,3.78,2.41,1.02,3.1,3.42,-78.81,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.446,Tag 1,2.264,0.915,1.055,2.68,1.54,2.13,2.91,2.35,2.46,2.32,2.9,-78.46,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.446,Tag 0,2.421,-0.512,0.705,2.6,1.07,3.18,3.78,2.41,1.02,3.1,3.42,-78.81,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.496,Tag 0,2.425,-0.49,0.726,2.6,1.07,3.13,3.78,2.41,1.02,3.15,3.42,-79.03,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.496,Tag 1,2.264,0.915,1.055,2.68,1.54,2.13,2.91,2.35,2.46,2.32,2.9,-78.46,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.545,Tag 0,2.425,-0.49,0.726,2.6,1.07,3.13,3.78,2.41,1.02,3.15,3.42,-79.03,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.545,Tag 1,2.268,0.911,1.051,2.67,1.53,2.12,2.9,2.35,2.5,2.31,2.9,-78.61,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.596,Tag 0,2.43,-0.477,0.74,2.6,1.06,3.2,3.87,2.4,1.02,3.22,3.41,-78.81,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.596,Tag 1,2.268,0.911,1.051,2.67,1.53,2.12,2.9,2.35,2.5,2.31,2.9,-78.61,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.645,Tag 0,2.43,-0.477,0.74,2.6,1.06,3.2,3.87,2.4,1.02,3.22,3.41,-78.81,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.645,Tag 1,2.271,0.889,1.067,2.68,1.53,2.11,2.9,2.36,2.5,2.32,2.91,-78.62,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.696,Tag 1,2.271,0.889,1.067,2.68,1.53,2.11,2.9,2.36,2.5,2.32,2.91,-78.62,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.696,Tag 0,2.434,-0.479,0.742,2.6,1.07,3.15,3.93,2.42,1.02,3.24,3.41,-78.83,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.746,Tag 0,2.434,-0.479,0.742,2.6,1.07,3.15,3.93,2.42,1.02,3.24,3.41,-78.83,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.746,Tag 1,2.274,0.888,1.065,2.68,1.54,2.11,2.9,2.36,2.53,2.33,2.9,-78.51,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.795,Tag 1,2.274,0.888,1.065,2.68,1.54,2.11,2.9,2.36,2.53,2.33,2.9,-78.51,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.795,Tag 0,2.438,-0.472,0.752,2.61,1.06,3.11,4.07,2.42,1.01,3.19,3.41,-78.83,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.846,Tag 0,2.438,-0.472,0.752,2.61,1.06,3.11,4.07,2.42,1.01,3.19,3.41,-78.83,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.846,Tag 1,2.276,0.891,1.064,2.67,1.55,2.12,2.9,2.36,2.55,2.34,2.9,-78.4,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.895,Tag 1,2.276,0.891,1.064,2.67,1.55,2.12,2.9,2.36,2.55,2.34,2.9,-78.4,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.895,Tag 0,2.44,-0.451,0.769,2.62,1.05,3.09,4.11,2.42,1.01,3.16,3.4,-78.84,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.945,Tag 0,2.44,-0.451,0.769,2.62,1.05,3.09,4.11,2.42,1.01,3.16,3.4,-78.84,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.945,Tag 1,2.277,0.892,1.063,2.68,1.54,2.12,2.9,2.37,2.57,2.33,2.91,-78.64,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:37:30.996,Tag 0,2.444,-0.422,0.784,2.61,1.05,3.06,4.15,2.42,1.01,3.14,3.4,-78.82,0,0,0,0,0,0,0,0,0,0,0,0
