rangetime(ms),tag_ID,x(m),y(m),z(m),range0(m),range1(m),range2(m),range3(m),range4(m),range5(m),range6(m),range7(m),rx_pwr(dBm),accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll,pitch,yaw,
2026-01-21 15:37:29.946,Tag 0,2.417,-0.233,0.802,2.57,1.07,3.20,null,2.40,0.99,3.09,3.41,-78.71,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:29.996,Tag 0,2.417,-0.295,0.780,2.57,1.06,3.18,3.71,2.41,1.00,3.08,3.41,-78.98,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.046,Tag 0,2.417,-0.295,0.780,2.57,1.06,3.18,3.71,2.41,1.00,3.08,3.41,-78.98,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.096,Tag 0,2.418,-0.357,0.760,2.58,1.05,3.18,3.73,null,1.01,3.06,3.41,-78.95,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.145,Tag 0,2.418,-0.357,0.760,2.58,1.05,3.18,3.73,null,1.01,3.06,3.41,-78.95,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.195,Tag 0,2.419,-0.416,0.739,2.59,1.05,3.21,3.75,2.41,1.02,3.03,3.41,-78.93,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.245,Tag 0,2.419,-0.416,0.739,2.59,1.05,3.21,3.75,2.41,1.02,3.03,3.41,-78.93,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.295,Tag 0,2.420,-0.481,0.715,2.59,1.07,3.24,3.77,2.40,1.02,3.12,3.41,-79.07,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.345,Tag 0,2.420,-0.481,0.715,2.59,1.07,3.24,3.77,2.40,1.02,3.12,3.41,-79.07,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.396,Tag 0,2.421,-0.512,0.705,2.60,1.07,3.18,3.78,2.41,1.02,3.10,3.42,-78.81,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.446,Tag 0,2.421,-0.512,0.705,2.60,1.07,3.18,3.78,2.41,1.02,3.10,3.42,-78.81,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.496,Tag 0,2.425,-0.490,0.726,2.60,1.07,3.13,3.78,2.41,1.02,3.15,3.42,-79.03,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.545,Tag 0,2.425,-0.490,0.726,2.60,1.07,3.13,3.78,2.41,1.02,3.15,3.42,-79.03,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.596,Tag 0,2.430,-0.477,0.740,2.60,1.06,3.20,3.87,2.40,1.02,3.22,3.41,-78.81,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.645,Tag 0,2.430,-0.477,0.740,2.60,1.06,3.20,3.87,2.40,1.02,3.22,3.41,-78.81,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.696,Tag 0,2.434,-0.479,0.742,2.60,1.07,3.15,3.93,2.42,1.02,3.24,3.41,-78.83,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.746,Tag 0,2.434,-0.479,0.742,2.60,1.07,3.15,3.93,2.42,1.02,3.24,3.41,-78.83,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.795,Tag 0,2.438,-0.472,0.752,2.61,1.06,3.11,4.07,2.42,1.01,3.19,3.41,-78.83,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.846,Tag 0,2.438,-0.472,0.752,2.61,1.06,3.11,4.07,2.42,1.01,3.19,3.41,-78.83,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.895,Tag 0,2.440,-0.451,0.769,2.62,1.05,3.09,4.11,2.42,1.01,3.16,3.40,-78.84,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.945,Tag 0,2.440,-0.451,0.769,2.62,1.05,3.09,4.11,2.42,1.01,3.16,3.40,-78.84,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.996,Tag 0,2.444,-0.422,0.784,2.61,1.05,3.06,4.15,2.42,1.01,3.14,3.40,-78.82,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.045,Tag 0,2.444,-0.422,0.784,2.61,1.05,3.06,4.15,2.42,1.01,3.14,3.40,-78.82,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.094,Tag 0,2.447,-0.401,0.790,2.62,1.05,3.04,4.22,2.41,1.01,3.12,3.40,-79.05,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.144,Tag 0,2.447,-0.401,0.790,2.62,1.05,3.04,4.22,2.41,1.01,3.12,3.40,-79.05,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.195,Tag 0,2.450,-0.383,0.794,2.61,1.05,3.02,4.29,2.41,1.01,3.10,3.40,-78.90,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.245,Tag 0,2.450,-0.383,0.794,2.61,1.05,3.02,4.29,2.41,1.01,3.10,3.40,-78.90,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.296,Tag 0,2.453,-0.350,0.808,2.61,1.05,3.00,4.34,2.41,1.01,3.09,3.40,-79.24,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.347,Tag 0,2.453,-0.350,0.808,2.61,1.05,3.00,4.34,2.41,1.01,3.09,3.40,-79.24,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.396,Tag 0,2.455,-0.323,0.818,2.61,1.04,2.99,4.37,2.41,1.00,3.06,3.39,-79.09,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.444,Tag 0,2.455,-0.323,0.818,2.61,1.04,2.99,4.37,2.41,1.00,3.06,3.39,-79.09,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.495,Tag 0,2.458,-0.299,0.825,2.60,1.04,2.98,4.41,2.40,1.00,3.04,3.39,-79.04,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.546,Tag 0,2.458,-0.299,0.825,2.60,1.04,2.98,4.41,2.40,1.00,3.04,3.39,-79.04,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.596,Tag 0,2.457,-0.280,0.828,2.61,1.04,2.96,4.39,2.41,1.00,3.04,3.40,-78.89,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.645,Tag 0,2.457,-0.280,0.828,2.61,1.04,2.96,4.39,2.41,1.00,3.04,3.40,-78.89,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.695,Tag 0,2.456,-0.259,0.834,2.60,1.04,2.95,null,2.40,1.00,3.05,3.40,-78.94,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.746,Tag 0,2.456,-0.259,0.834,2.60,1.04,2.95,null,2.40,1.00,3.05,3.40,-78.94,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.795,Tag 0,2.454,-0.241,0.838,2.61,1.05,2.94,4.42,2.40,0.99,3.04,3.40,-78.78,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.846,Tag 0,2.454,-0.241,0.838,2.61,1.05,2.94,4.42,2.40,0.99,3.04,3.40,-78.78,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.894,Tag 0,2.453,-0.226,0.842,2.60,1.04,2.95,4.42,2.40,0.99,3.04,3.40,-78.89,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.945,Tag 0,2.453,-0.226,0.842,2.60,1.04,2.95,4.42,2.40,0.99,3.04,3.40,-78.89,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.995,Tag 0,2.452,-0.215,0.842,2.60,1.04,2.94,4.32,2.40,0.99,3.03,3.39,-78.81,0,0,0,0,0,0,0,0,0,0,0,0,,
