时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号
38:42.0,0.5,焊把钳下端,3.02,1.15,1.56,2.753,1.034,1.671,T1
38:42.2,0.5,焊把钳下端,3.02,1.15,1.56,2.684,1.08,1.622,T1
38:42.3,0.5,焊把钳下端,3.02,1.15,1.56,2.615,1.149,1.571,T1
38:42.4,0.5,焊把钳下端,3.02,1.15,1.56,2.537,1.244,1.52,T1
38:42.6,0.5,焊把钳下端,3.02,1.15,1.56,3.353,1.216,1.235,T0
38:42.7,0.5,焊把钳下端,3.02,1.15,1.56,3.256,1.232,1.251,T0
38:42.8,0.5,焊把钳下端,3.02,1.15,1.56,3.15,1.255,1.265,T0
38:42.8,0.5,接地夹下端,3.02,1.53,1.61,3.15,1.255,1.265,T0
38:42.9,0.5,焊把钳下端,3.02,1.15,1.56,3.043,1.273,1.283,T0
38:42.9,0.5,接地夹下端,3.02,1.53,1.61,3.043,1.273,1.283,T0
38:43.0,0.5,焊把钳下端,3.02,1.15,1.56,2.946,1.283,1.296,T0
38:43.0,0.5,接地夹下端,3.02,1.53,1.61,2.946,1.283,1.296,T0
38:43.1,0.5,焊把钳下端,3.02,1.15,1.56,2.852,1.292,1.294,T0
38:43.1,0.5,接地夹下端,3.02,1.53,1.61,2.852,1.292,1.294,T0
38:43.2,0.5,焊把钳下端,3.02,1.15,1.56,2.769,1.305,1.282,T0
38:43.2,0.5,接地夹下端,3.02,1.53,1.61,2.769,1.305,1.282,T0
38:43.3,0.5,焊把钳下端,3.02,1.15,1.56,2.677,1.336,1.275,T0
38:43.5,0.5,墙壁电源,2.44,2.57,0.97,2.081,2.284,0.843,T1
38:43.6,0.5,墙壁电源,2.44,2.57,0.97,2.107,2.299,0.815,T1
38:43.7,0.5,墙壁电源,2.44,2.57,0.97,2.136,2.294,0.798,T1
