rangetime(ms),tag_ID,x(m),y(m),z(m),range0(m),range1(m),range2(m),range3(m),range4(m),range5(m),range6(m),range7(m),rx_pwr(dBm),accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll,pitch,yaw
2026-01-21 16:19:35.922,Tag 0,1.394,-0.17,0.937,1.72,1.88,3.29,3.29,2.03,2.32,3.34,3.25,-76.89,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 16:19:35.922,Tag 1,2.343,-0.274,0.618,2.49,0.93,2.98,3.85,2.95,1.21,2.97,3.62,-78.89,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 16:19:35.973,Tag 0,1.403,-0.172,0.936,1.74,1.84,3.27,3.29,2.08,2.22,3.3,3.25,-78.89,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 16:19:35.973,Tag 1,2.343,-0.274,0.618,2.49,0.93,2.98,3.85,2.95,1.21,2.97,3.62,-78.89,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 16:19:36.022,Tag 0,1.403,-0.172,0.936,1.74,1.84,3.27,3.29,2.08,2.22,3.3,3.25,-78.89,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 16:19:36.022,Tag 1,2.357,-0.27,0.619,2.53,0.93,2.99,3.83,2.98,1.18,2.96,3.63,-78.63,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 16:19:36.072,Tag 0,1.415,-0.17,0.935,,1.82,3.24,3.32,2.16,2.14,3.27,3.26,-76.41,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 16:19:36.072,Tag 1,2.357,-0.27,0.619,2.53,0.93,2.99,3.83,2.98,1.18,2.96,3.63,-78.63,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 16:19:36.123,Tag 0,1.415,-0.17,0.935,,1.82,3.24,3.32,2.16,2.14,3.27,3.26,-76.41,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 16:19:36.123,Tag 1,2.373,-0.271,0.623,2.55,0.92,3.0,3.81,3.09,1.13,2.96,3.63,-78.61,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 16:19:36.173,Tag 0,1.448,-0.162,0.961,1.77,1.76,3.2,3.39,2.24,2.06,3.22,3.26,-76.51,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 16:19:36.173,Tag 1,2.373,-0.271,0.623,2.55,0.92,3.0,3.81,3.09,1.13,2.96,3.63,-78.61,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 16:19:36.222,Tag 0,1.448,-0.162,0.961,1.77,1.76,3.2,3.39,2.24,2.06,3.22,3.26,-76.51,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 16:19:36.222,Tag 1,2.391,-0.276,0.625,2.58,0.92,2.99,3.92,3.16,1.07,2.96,3.62,-78.35,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 16:19:36.272,Tag 1,2.391,-0.276,0.625,2.58,0.92,2.99,3.92,3.16,1.07,2.96,3.62,-78.35,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 16:19:36.272,Tag 0,1.465,-0.151,0.959,1.8,1.72,3.16,3.34,2.23,1.97,3.18,3.25,-76.28,0,0,0,0,0,0,0,0,0,0,0,0
