rangetime(ms),tag_ID,x(m),y(m),z(m),range0(m),range1(m),range2(m),range3(m),range4(m),range5(m),range6(m),range7(m),rx_pwr(dBm),accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll,pitch,yaw,
2026-01-21 16:19:35.922,Tag 0,1.394,-0.170,0.937,1.72,1.88,3.29,3.29,2.03,2.32,3.34,3.25,-76.89,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:19:35.973,Tag 0,1.403,-0.172,0.936,1.74,1.84,3.27,3.29,2.08,2.22,3.30,3.25,-78.89,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:19:36.022,Tag 0,1.403,-0.172,0.936,1.74,1.84,3.27,3.29,2.08,2.22,3.30,3.25,-78.89,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:19:36.072,Tag 0,1.415,-0.170,0.935,null,1.82,3.24,3.32,2.16,2.14,3.27,3.26,-76.41,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:19:36.123,Tag 0,1.415,-0.170,0.935,null,1.82,3.24,3.32,2.16,2.14,3.27,3.26,-76.41,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:19:36.173,Tag 0,1.448,-0.162,0.961,1.77,1.76,3.20,3.39,2.24,2.06,3.22,3.26,-76.51,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:19:36.222,Tag 0,1.448,-0.162,0.961,1.77,1.76,3.20,3.39,2.24,2.06,3.22,3.26,-76.51,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:19:36.272,Tag 0,1.465,-0.151,0.959,1.80,1.72,3.16,3.34,2.23,1.97,3.18,3.25,-76.28,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:19:36.321,Tag 0,1.465,-0.151,0.959,1.80,1.72,3.16,3.34,2.23,1.97,3.18,3.25,-76.28,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:19:36.371,Tag 0,1.490,-0.135,0.954,1.85,1.66,3.11,3.32,2.24,1.90,3.14,3.25,-76.63,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:19:36.421,Tag 0,1.490,-0.135,0.954,1.85,1.66,3.11,3.32,2.24,1.90,3.14,3.25,-76.63,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:19:36.473,Tag 0,1.525,-0.117,0.947,1.93,1.60,null,3.31,2.26,1.83,3.10,3.24,-76.91,0,0,0,0,0,0,0,0,0,0,0,0,,
