from_super_state,to_super_state,from_sub_state,to_sub_state,contact_time,point_name,distance,threshold_value,reason,completed_states
INITIAL,MOVING,S0,S0,2026-01-21 16:03:26.012000,焊把钳下端,,,,
MOVING,OPERATION,S0,S0,2026-01-21 16:03:26.061000,焊把钳下端,,,,
OPERATION,OPERATION,S0,S1,2026-01-21 16:03:27.161000,灭火器把手,0.2205107707119994,0.25,,
OPERATION,OPERATION,S1,S2,2026-01-21 16:03:28.862000,油箱顶部,0.2089545405106096,0.35,,
OPERATION,OPERATION,S2,S3,2026-01-21 16:04:07.860000,电压电流旋钮,0.586,0.6,,
OPERATION,OPERATION,S3,S4,2026-01-21 16:04:17.858000,接地夹下端,0.5987261477503717,0.63,,
OPERATION,OPERATION,S4,S5,2026-01-21 16:04:34.208000,墙壁电源,0.1481823201330039,0.25,,
OPERATION,OPERATION,S5,S6,2026-01-21 16:04:46.208000,焊机电源,0.4548197445142415,0.5,,
OPERATION,OPERATION,S6,S7,2026-01-21 16:04:54.357000,电压电流旋钮,0.5660989312832165,0.6,,
OPERATION,OPERATION,S7,S8,2026-01-21 16:05:01.708000,接地夹下端,0.5909966158955567,0.63,,
OPERATION,OPERATION,S8,S9,2026-01-21 16:05:25.607000,面罩把手,0.4171498531702965,0.45,,
OPERATION,OPERATION,S9,S10,2026-01-21 16:05:38.656000,焊机电源,0.4720741467185001,0.5,,
OPERATION,OPERATION,S10,S11,2026-01-21 16:05:49.306000,墙壁电源,0.248865425481323,0.25,,
OPERATION,OPERATION,S11,S12,2026-01-21 16:05:58.406000,接地夹下端,0.5537734193693302,0.63,,
OPERATION,OPERATION,S12,S13,2026-01-21 16:06:09.855000,锤子,0.590356671851856,0.6,,
OPERATION,END,S13,S13,,,,,workflow_completed,"['S2', 'S3', 'S9', 'S4', 'S7', 'S8', 'S13', 'S1', 'S6', 'S11', 'S10', 'S5', 'S12']"
