时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号
03:26.9,0.4,灭火器把手,2.84,0.69,0.5,2.592,0.59,0.735,T1
03:27.0,0.4,灭火器把手,2.84,0.69,0.5,2.624,0.585,0.717,T1
03:27.1,0.4,灭火器把手,2.84,0.69,0.5,2.651,0.647,0.665,T1
03:27.2,0.4,灭火器把手,2.84,0.69,0.5,2.678,0.64,0.641,T1
03:27.3,0.4,灭火器把手,2.84,0.69,0.5,2.701,0.635,0.616,T1
03:27.4,0.4,灭火器把手,2.84,0.69,0.5,2.725,0.628,0.581,T1
03:27.5,0.4,灭火器把手,2.84,0.69,0.5,2.736,0.638,0.594,T1
03:27.6,0.4,油箱顶部,2.86,0.42,0.25,2.762,0.629,0.551,T1
03:27.6,0.4,灭火器把手,2.84,0.69,0.5,2.762,0.629,0.551,T1
03:27.7,0.4,油箱顶部,2.86,0.42,0.25,2.785,0.622,0.514,T1
03:27.7,0.4,灭火器把手,2.84,0.69,0.5,2.785,0.622,0.514,T1
03:27.8,0.4,油箱顶部,2.86,0.42,0.25,2.804,0.617,0.483,T1
03:27.8,0.4,灭火器把手,2.84,0.69,0.5,2.804,0.617,0.483,T1
03:27.8,0.4,灭火器把手,2.84,0.69,0.5,3.183,0.733,0.331,T0
03:27.9,0.4,油箱顶部,2.86,0.42,0.25,2.82,0.611,0.455,T1
03:27.9,0.4,灭火器把手,2.84,0.69,0.5,2.82,0.611,0.455,T1
03:27.9,0.4,灭火器把手,2.84,0.69,0.5,3.156,0.73,0.332,T0
03:28.0,0.4,油箱顶部,2.86,0.42,0.25,2.833,0.606,0.433,T1
03:28.0,0.4,灭火器把手,2.84,0.69,0.5,2.833,0.606,0.433,T1
03:28.0,0.4,灭火器把手,2.84,0.69,0.5,3.132,0.729,0.333,T0
03:28.1,0.4,油箱顶部,2.86,0.42,0.25,2.844,0.603,0.415,T1
03:28.1,0.4,灭火器把手,2.84,0.69,0.5,2.844,0.603,0.415,T1
03:28.1,0.4,灭火器把手,2.84,0.69,0.5,3.114,0.729,0.331,T0
03:28.2,0.4,油箱顶部,2.86,0.42,0.25,2.852,0.601,0.4,T1
03:28.2,0.4,灭火器把手,2.84,0.69,0.5,2.852,0.601,0.4,T1
03:28.2,0.4,油箱顶部,2.86,0.42,0.25,3.099,0.729,0.323,T0
03:28.2,0.4,灭火器把手,2.84,0.69,0.5,3.099,0.729,0.323,T0
03:28.3,0.4,油箱顶部,2.86,0.42,0.25,2.855,0.602,0.388,T1
03:28.3,0.4,灭火器把手,2.84,0.69,0.5,2.855,0.602,0.388,T1
03:28.3,0.4,油箱顶部,2.86,0.42,0.25,3.095,0.728,0.319,T0
03:28.3,0.4,灭火器把手,2.84,0.69,0.5,3.095,0.728,0.319,T0
03:28.4,0.4,油箱顶部,2.86,0.42,0.25,2.854,0.602,0.379,T1
03:28.4,0.4,灭火器把手,2.84,0.69,0.5,2.854,0.602,0.379,T1
03:28.4,0.4,油箱顶部,2.86,0.42,0.25,3.095,0.728,0.31,T0
03:28.4,0.4,灭火器把手,2.84,0.69,0.5,3.095,0.728,0.31,T0
03:28.5,0.4,油箱顶部,2.86,0.42,0.25,2.851,0.601,0.367,T1
03:28.5,0.4,灭火器把手,2.84,0.69,0.5,2.851,0.601,0.367,T1
03:28.5,0.4,灭火器把手,2.84,0.69,0.5,3.115,0.728,0.301,T0
03:28.6,0.4,油箱顶部,2.86,0.42,0.25,2.844,0.603,0.362,T1
03:28.6,0.4,灭火器把手,2.84,0.69,0.5,2.844,0.603,0.362,T1
03:28.6,0.4,灭火器把手,2.84,0.69,0.5,3.127,0.729,0.298,T0
03:28.7,0.4,油箱顶部,2.86,0.42,0.25,2.831,0.604,0.36,T1
03:28.7,0.4,灭火器把手,2.84,0.69,0.5,2.831,0.604,0.36,T1
03:28.7,0.4,灭火器把手,2.84,0.69,0.5,3.151,0.732,0.301,T0
03:28.8,0.4,油箱顶部,2.86,0.42,0.25,2.809,0.608,0.362,T1
03:28.8,0.4,灭火器把手,2.84,0.69,0.5,2.809,0.608,0.362,T1
03:28.8,0.4,灭火器把手,2.84,0.69,0.5,3.183,0.738,0.304,T0
03:28.9,0.4,油箱顶部,2.86,0.42,0.25,2.783,0.613,0.228,T1
03:28.9,0.4,灭火器把手,2.84,0.69,0.5,2.783,0.613,0.228,T1
03:29.0,0.4,油箱顶部,2.86,0.42,0.25,2.755,0.62,0.088,T1
03:29.1,0.4,油箱顶部,2.86,0.42,0.25,2.725,0.629,-0.047,T1
03:29.7,0.4,油箱顶部,2.86,0.42,0.25,2.653,0.654,0.121,T1
03:29.8,0.4,油箱顶部,2.86,0.42,0.25,2.666,0.648,0.265,T1
03:29.8,0.4,灭火器把手,2.84,0.69,0.5,2.666,0.648,0.265,T1
03:29.9,0.4,油箱顶部,2.86,0.42,0.25,2.684,0.644,0.407,T1
03:29.9,0.4,灭火器把手,2.84,0.69,0.5,2.684,0.644,0.407,T1
03:30.0,0.4,油箱顶部,2.86,0.42,0.25,2.709,0.639,0.396,T1
03:30.0,0.4,灭火器把手,2.84,0.69,0.5,2.709,0.639,0.396,T1
03:30.0,0.4,灭火器把手,2.84,0.69,0.5,3.206,0.759,0.423,T0
03:30.1,0.4,油箱顶部,2.86,0.42,0.25,2.737,0.638,0.387,T1
03:30.1,0.4,灭火器把手,2.84,0.69,0.5,2.737,0.638,0.387,T1
03:30.1,0.4,灭火器把手,2.84,0.69,0.5,3.177,0.758,0.433,T0
03:30.2,0.4,油箱顶部,2.86,0.42,0.25,2.764,0.64,0.383,T1
03:30.2,0.4,灭火器把手,2.84,0.69,0.5,2.764,0.64,0.383,T1
03:30.2,0.4,灭火器把手,2.84,0.69,0.5,3.161,0.761,0.43,T0
03:30.3,0.4,油箱顶部,2.86,0.42,0.25,2.793,0.643,0.382,T1
03:30.3,0.4,灭火器把手,2.84,0.69,0.5,2.793,0.643,0.382,T1
