rangetime(ms),tag_ID,x(m),y(m),z(m),range0(m),range1(m),range2(m),range3(m),range4(m),range5(m),range6(m),range7(m),rx_pwr(dBm),accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll,pitch,yaw,
2026-01-21 16:03:14.711,Tag 0,1.896,-0.081,1.122,2.36,1.78,3.11,4.02,1.99,1.27,2.81,3.05,-78.26,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:14.762,Tag 0,1.896,-0.081,1.122,2.36,1.78,3.11,4.02,1.99,1.27,2.81,3.05,-78.26,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:14.811,Tag 0,1.890,-0.067,1.185,2.42,1.83,3.11,4.04,1.96,1.27,2.80,3.03,-78.42,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:14.862,Tag 0,1.890,-0.067,1.185,2.42,1.83,3.11,4.04,1.96,1.27,2.80,3.03,-78.42,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:14.913,Tag 0,1.893,-0.045,1.258,2.45,1.87,3.11,3.90,1.94,1.25,2.78,3.01,-78.53,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:14.962,Tag 0,1.893,-0.045,1.258,2.45,1.87,3.11,3.90,1.94,1.25,2.78,3.01,-78.53,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.012,Tag 0,1.898,-0.014,1.329,2.47,1.90,3.10,3.91,1.91,1.26,2.76,3.08,-78.57,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.062,Tag 0,1.898,-0.014,1.329,2.47,1.90,3.10,3.91,1.91,1.26,2.76,3.08,-78.57,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.113,Tag 0,1.906,0.023,1.399,2.50,1.91,3.10,4.26,1.89,1.25,2.75,3.06,-78.45,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.162,Tag 0,1.906,0.023,1.399,2.50,1.91,3.10,4.26,1.89,1.25,2.75,3.06,-78.45,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.210,Tag 0,1.916,0.055,1.458,2.51,1.92,3.09,4.58,1.87,1.25,2.74,3.04,-78.82,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.262,Tag 0,1.916,0.055,1.458,2.51,1.92,3.09,4.58,1.87,1.25,2.74,3.04,-78.82,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.311,Tag 0,1.928,0.082,1.506,2.52,1.93,3.09,4.48,1.85,1.26,null,3.04,-78.58,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.362,Tag 0,1.928,0.082,1.506,2.52,1.93,3.09,4.48,1.85,1.26,null,3.04,-78.58,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.411,Tag 0,1.931,0.105,1.541,2.52,1.94,3.10,4.28,1.84,1.26,2.73,3.05,-78.32,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.461,Tag 0,1.931,0.105,1.541,2.52,1.94,3.10,4.28,1.84,1.26,2.73,3.05,-78.32,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.512,Tag 0,1.935,0.119,1.563,2.54,1.94,3.15,4.69,1.82,1.28,2.73,3.04,-78.22,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.561,Tag 0,1.935,0.119,1.563,2.54,1.94,3.15,4.69,1.82,1.28,2.73,3.04,-78.22,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.612,Tag 0,1.939,0.121,1.582,2.55,1.95,3.16,4.45,1.80,1.29,2.73,3.03,-78.33,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.662,Tag 0,1.939,0.121,1.582,2.55,1.95,3.16,4.45,1.80,1.29,2.73,3.03,-78.33,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.711,Tag 0,1.943,0.117,1.595,2.55,1.95,3.16,4.25,1.79,1.30,2.72,3.02,-78.41,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.760,Tag 0,1.943,0.117,1.595,2.55,1.95,3.16,4.25,1.79,1.30,2.72,3.02,-78.41,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.811,Tag 0,1.947,0.110,1.606,2.56,1.95,3.15,4.07,1.78,1.32,2.71,3.01,-78.33,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.862,Tag 0,1.947,0.110,1.606,2.56,1.95,3.15,4.07,1.78,1.32,2.71,3.01,-78.33,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.911,Tag 0,1.948,0.103,1.616,2.57,1.96,3.15,3.93,1.77,1.33,2.71,3.01,-77.99,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:15.962,Tag 0,1.948,0.103,1.616,2.57,1.96,3.15,3.93,1.77,1.33,2.71,3.01,-77.99,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.011,Tag 0,1.955,0.093,1.624,2.58,1.97,3.15,3.81,1.76,1.33,2.70,3.14,-78.02,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.061,Tag 0,1.955,0.093,1.624,2.58,1.97,3.15,3.81,1.76,1.33,2.70,3.14,-78.02,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.111,Tag 0,1.960,0.087,1.634,2.59,1.98,3.16,3.73,1.75,1.33,2.69,3.24,-78.47,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.162,Tag 0,1.960,0.087,1.634,2.59,1.98,3.16,3.73,1.75,1.33,2.69,3.24,-78.47,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.210,Tag 0,1.964,0.088,1.645,2.63,1.98,3.18,3.66,1.74,1.34,2.70,3.33,-78.64,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.262,Tag 0,1.964,0.088,1.645,2.63,1.98,3.18,3.66,1.74,1.34,2.70,3.33,-78.64,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.312,Tag 0,1.973,0.086,1.655,2.65,1.98,null,3.57,1.74,1.34,2.70,3.50,-78.87,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.362,Tag 0,1.973,0.086,1.655,2.65,1.98,null,3.57,1.74,1.34,2.70,3.50,-78.87,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.412,Tag 0,1.984,0.097,1.664,2.69,1.97,3.19,3.53,1.73,1.34,2.70,3.65,-80.19,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.461,Tag 0,1.984,0.097,1.664,2.69,1.97,3.19,3.53,1.73,1.34,2.70,3.65,-80.19,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.511,Tag 0,2.001,0.094,1.679,2.73,1.97,3.18,3.48,1.74,1.35,2.70,3.77,-78.85,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.562,Tag 0,2.001,0.094,1.679,2.73,1.97,3.18,3.48,1.74,1.35,2.70,3.77,-78.85,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.612,Tag 0,2.020,0.090,1.694,2.65,1.97,3.18,3.46,1.75,1.35,2.70,3.64,-78.81,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.663,Tag 0,2.020,0.090,1.694,2.65,1.97,3.18,3.46,1.75,1.35,2.70,3.64,-78.81,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.711,Tag 0,2.028,0.085,1.701,2.57,1.98,3.17,3.43,1.77,1.34,2.71,3.51,-78.82,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.761,Tag 0,2.028,0.085,1.701,2.57,1.98,3.17,3.43,1.77,1.34,2.71,3.51,-78.82,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.812,Tag 0,2.026,0.082,1.698,2.54,1.98,3.17,3.39,1.78,1.34,2.71,3.41,-78.53,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.862,Tag 0,2.026,0.082,1.698,2.54,1.98,3.17,3.39,1.78,1.34,2.71,3.41,-78.53,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.912,Tag 0,2.012,0.085,1.691,2.52,2.00,3.16,3.36,1.83,1.32,2.71,3.32,-78.68,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:16.961,Tag 0,2.012,0.085,1.691,2.52,2.00,3.16,3.36,1.83,1.32,2.71,3.32,-78.68,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.011,Tag 0,1.992,0.077,1.682,2.50,2.01,3.15,3.33,1.84,1.29,2.73,3.24,-78.50,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.061,Tag 0,1.992,0.077,1.682,2.50,2.01,3.15,3.33,1.84,1.29,2.73,3.24,-78.50,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.112,Tag 0,1.961,0.089,1.668,2.47,2.02,3.14,3.32,1.85,1.27,2.72,3.17,-78.95,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.162,Tag 0,1.961,0.089,1.668,2.47,2.02,3.14,3.32,1.85,1.27,2.72,3.17,-78.95,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.212,Tag 0,1.920,0.104,1.652,2.45,2.03,3.15,3.30,2.20,1.26,2.73,3.14,-78.82,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.262,Tag 0,1.920,0.104,1.652,2.45,2.03,3.15,3.30,2.20,1.26,2.73,3.14,-78.82,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.312,Tag 0,1.885,0.120,1.640,2.43,2.04,3.15,3.30,2.28,1.25,2.74,3.11,-78.73,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.361,Tag 0,1.885,0.120,1.640,2.43,2.04,3.15,3.30,2.28,1.25,2.74,3.11,-78.73,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.411,Tag 0,1.858,0.133,1.634,2.40,2.05,3.17,3.48,2.28,1.26,2.74,3.10,-79.05,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.462,Tag 0,1.858,0.133,1.634,2.40,2.05,3.17,3.48,2.28,1.26,2.74,3.10,-79.05,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.511,Tag 0,1.833,0.142,1.629,2.39,2.05,3.18,3.89,2.31,1.26,2.74,3.10,-79.08,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.562,Tag 0,1.833,0.142,1.629,2.39,2.05,3.18,3.89,2.31,1.26,2.74,3.10,-79.08,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.612,Tag 0,1.810,0.146,1.625,2.37,2.06,3.20,4.21,2.19,1.27,2.74,3.09,-78.82,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.660,Tag 0,1.810,0.146,1.625,2.37,2.06,3.20,4.21,2.19,1.27,2.74,3.09,-78.82,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.711,Tag 0,1.788,0.140,1.619,2.35,2.05,3.22,4.14,2.25,1.27,2.74,3.08,-78.88,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.761,Tag 0,1.788,0.140,1.619,2.35,2.05,3.22,4.14,2.25,1.27,2.74,3.08,-78.88,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.812,Tag 0,1.769,0.129,1.610,2.34,2.05,3.24,4.23,2.26,1.26,2.73,3.07,-79.00,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.862,Tag 0,1.769,0.129,1.610,2.34,2.05,3.24,4.23,2.26,1.26,2.73,3.07,-79.00,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.912,Tag 0,1.754,0.111,1.602,2.33,2.05,null,4.29,2.24,1.25,2.73,3.07,-78.95,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:17.962,Tag 0,1.754,0.111,1.602,2.33,2.05,null,4.29,2.24,1.25,2.73,3.07,-78.95,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:18.012,Tag 0,1.740,-0.121,1.494,2.32,2.05,3.23,4.20,2.21,1.25,2.73,3.06,-78.87,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:18.061,Tag 0,1.740,-0.121,1.494,2.32,2.05,3.23,4.20,2.21,1.25,2.73,3.06,-78.87,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:18.111,Tag 0,1.731,-0.137,1.486,2.30,2.03,3.24,4.04,2.16,1.25,2.72,3.04,-80.27,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:18.161,Tag 0,1.731,-0.137,1.486,2.30,2.03,3.24,4.04,2.16,1.25,2.72,3.04,-80.27,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:18.211,Tag 0,1.722,-0.151,1.473,2.28,2.02,3.24,3.93,2.13,1.26,2.71,3.03,-78.71,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:18.261,Tag 0,1.722,-0.151,1.473,2.28,2.02,3.24,3.93,2.13,1.26,2.71,3.03,-78.71,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:18.312,Tag 0,1.715,-0.165,1.459,2.40,2.02,3.25,3.94,2.10,1.26,2.70,3.03,-78.68,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:18.361,Tag 0,1.715,-0.165,1.459,2.40,2.02,3.25,3.94,2.10,1.26,2.70,3.03,-78.68,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:18.412,Tag 0,1.724,-0.174,1.462,2.48,2.02,3.23,3.88,2.06,1.26,2.70,3.04,-78.89,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:18.461,Tag 0,1.724,-0.174,1.462,2.48,2.02,3.23,3.88,2.06,1.26,2.70,3.04,-78.89,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:18.512,Tag 0,1.745,-0.176,1.474,2.56,2.02,3.22,4.00,2.03,1.26,null,3.02,-78.63,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:18.562,Tag 0,1.745,-0.176,1.474,2.56,2.02,3.22,4.00,2.03,1.26,null,3.02,-78.63,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:18.611,Tag 0,1.778,0.038,1.592,2.69,2.03,3.22,4.00,2.02,1.27,2.70,3.02,-78.84,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:18.661,Tag 0,1.778,0.038,1.592,2.69,2.03,3.22,4.00,2.02,1.27,2.70,3.02,-78.84,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 16:03:18.712,Tag 0,1.831,0.038,1.624,2.72,2.02,3.22,3.94,2.01,1.28,2.70,3.02,-78.64,0,0,0,0,0,0,0,0,0,0,0,0,,
