时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号,
"2026-01-21 16:03:26.860",0.400,"灭火器把手",2.840,0.690,0.500,2.592,0.590,0.735,"T1",
"2026-01-21 16:03:26.961",0.400,"灭火器把手",2.840,0.690,0.500,2.624,0.585,0.717,"T1",
"2026-01-21 16:03:27.060",0.400,"灭火器把手",2.840,0.690,0.500,2.651,0.647,0.665,"T1",
"2026-01-21 16:03:27.160",0.400,"灭火器把手",2.840,0.690,0.500,2.678,0.640,0.641,"T1",
"2026-01-21 16:03:27.260",0.400,"灭火器把手",2.840,0.690,0.500,2.701,0.635,0.616,"T1",
"2026-01-21 16:03:27.360",0.400,"灭火器把手",2.840,0.690,0.500,2.725,0.628,0.581,"T1",
"2026-01-21 16:03:27.460",0.400,"灭火器把手",2.840,0.690,0.500,2.736,0.638,0.594,"T1",
"2026-01-21 16:03:27.559",0.400,"油箱顶部",2.860,0.420,0.250,2.762,0.629,0.551,"T1",
"2026-01-21 16:03:27.559",0.400,"灭火器把手",2.840,0.690,0.500,2.762,0.629,0.551,"T1",
"2026-01-21 16:03:27.661",0.400,"油箱顶部",2.860,0.420,0.250,2.785,0.622,0.514,"T1",
"2026-01-21 16:03:27.661",0.400,"灭火器把手",2.840,0.690,0.500,2.785,0.622,0.514,"T1",
"2026-01-21 16:03:27.760",0.400,"油箱顶部",2.860,0.420,0.250,2.804,0.617,0.483,"T1",
"2026-01-21 16:03:27.760",0.400,"灭火器把手",2.840,0.690,0.500,2.804,0.617,0.483,"T1",
"2026-01-21 16:03:27.810",0.400,"灭火器把手",2.840,0.690,0.500,3.183,0.733,0.331,"T0",
"2026-01-21 16:03:27.860",0.400,"油箱顶部",2.860,0.420,0.250,2.820,0.611,0.455,"T1",
"2026-01-21 16:03:27.860",0.400,"灭火器把手",2.840,0.690,0.500,2.820,0.611,0.455,"T1",
"2026-01-21 16:03:27.912",0.400,"灭火器把手",2.840,0.690,0.500,3.156,0.730,0.332,"T0",
"2026-01-21 16:03:27.960",0.400,"油箱顶部",2.860,0.420,0.250,2.833,0.606,0.433,"T1",
"2026-01-21 16:03:27.960",0.400,"灭火器把手",2.840,0.690,0.500,2.833,0.606,0.433,"T1",
"2026-01-21 16:03:28.010",0.400,"灭火器把手",2.840,0.690,0.500,3.132,0.729,0.333,"T0",
"2026-01-21 16:03:28.060",0.400,"油箱顶部",2.860,0.420,0.250,2.844,0.603,0.415,"T1",
"2026-01-21 16:03:28.060",0.400,"灭火器把手",2.840,0.690,0.500,2.844,0.603,0.415,"T1",
"2026-01-21 16:03:28.111",0.400,"灭火器把手",2.840,0.690,0.500,3.114,0.729,0.331,"T0",
"2026-01-21 16:03:28.160",0.400,"油箱顶部",2.860,0.420,0.250,2.852,0.601,0.400,"T1",
"2026-01-21 16:03:28.160",0.400,"灭火器把手",2.840,0.690,0.500,2.852,0.601,0.400,"T1",
"2026-01-21 16:03:28.210",0.400,"油箱顶部",2.860,0.420,0.250,3.099,0.729,0.323,"T0",
"2026-01-21 16:03:28.210",0.400,"灭火器把手",2.840,0.690,0.500,3.099,0.729,0.323,"T0",
"2026-01-21 16:03:28.259",0.400,"油箱顶部",2.860,0.420,0.250,2.855,0.602,0.388,"T1",
"2026-01-21 16:03:28.259",0.400,"灭火器把手",2.840,0.690,0.500,2.855,0.602,0.388,"T1",
"2026-01-21 16:03:28.311",0.400,"油箱顶部",2.860,0.420,0.250,3.095,0.728,0.319,"T0",
"2026-01-21 16:03:28.311",0.400,"灭火器把手",2.840,0.690,0.500,3.095,0.728,0.319,"T0",
"2026-01-21 16:03:28.361",0.400,"油箱顶部",2.860,0.420,0.250,2.854,0.602,0.379,"T1",
"2026-01-21 16:03:28.361",0.400,"灭火器把手",2.840,0.690,0.500,2.854,0.602,0.379,"T1",
"2026-01-21 16:03:28.410",0.400,"油箱顶部",2.860,0.420,0.250,3.095,0.728,0.310,"T0",
"2026-01-21 16:03:28.410",0.400,"灭火器把手",2.840,0.690,0.500,3.095,0.728,0.310,"T0",
"2026-01-21 16:03:28.461",0.400,"油箱顶部",2.860,0.420,0.250,2.851,0.601,0.367,"T1",
"2026-01-21 16:03:28.461",0.400,"灭火器把手",2.840,0.690,0.500,2.851,0.601,0.367,"T1",
"2026-01-21 16:03:28.510",0.400,"灭火器把手",2.840,0.690,0.500,3.115,0.728,0.301,"T0",
"2026-01-21 16:03:28.560",0.400,"油箱顶部",2.860,0.420,0.250,2.844,0.603,0.362,"T1",
"2026-01-21 16:03:28.560",0.400,"灭火器把手",2.840,0.690,0.500,2.844,0.603,0.362,"T1",
